fileName,speaker,label,PC1,PC2,PC3,PC4,PC5,PC6
SBep4_c781-N,c,N,-2.172312660338012,-1.9747110539215655,1.3281730933825555,0.8651913222551771,-1.3158239110793646,-0.5157239449223933
SBep14_d135-N,d,N,-1.2120989132852968,0.2956736862203255,-0.5914226588198571,-0.08596318450204894,-2.1013669558109576,-0.39961111669679134
SBep23_c307-I,c,I,-2.6138595529612227,1.9380282980528498,-2.118027408706725,-1.208922291574601,-0.07529685843771812,1.7255408512649815
SBep3_d1258-I,d,I,0.5591567255827813,-1.2261638656813871,0.7851500521728172,-0.2773625963913707,-1.2835032557039843,0.05329022394708803
SBep3_c234-N,c,N,4.450685296294548,0.7719834336920856,1.7947937397538147,1.641792069267721,0.013450869563342105,-1.406435306069604
SBep15_c82-N,c,N,-2.2508181275860215,-1.1489126899155024,-1.0320295775378006,1.0240216657173387,-0.33729160470559655,-0.10411350554199866
SBep4_c978-N,c,N,-2.7970808834407936,-2.250531093157734,0.9925204656617336,1.0181497953726755,0.5474915518206965,-0.5795437333622135
SBep19_d392-I,d,I,-0.48319571708756837,-1.5256758001045914,1.0248404100285389,0.6793281334729443,-0.04782695775860096,1.196206292739532
SBep28_c92-N,c,N,0.2787340208193751,-1.0180102900584278,-2.4005583415907363,1.8755930718870089,1.1424417826451165,-1.1417249742731248
SBep2_e368-I,e,I,1.849828641249548,3.413781756883249,-2.1808546284007964,1.5750238796056448,-1.2596913355556185,1.2379088913692415
SBep23_c695-I,c,I,-2.880967124642909,-1.7446786646893235,-0.46572458626990076,-0.21798117151728164,-0.7005675179654173,0.5287104095009596
SBep3_c664-N,c,N,3.9118950868507363,0.5307581257424855,-1.861745991955887,-1.455661546079892,4.926284811437077,-1.4014745466024088
SBep4_c990-N,c,N,0.006235422593583933,0.2954950180379823,0.20544812103085314,0.910479393058963,-0.7135909560951352,-1.0825049482669102
SBep16_c123-N,c,N,1.9250534717167327,1.0106075915982875,-0.2586548148900466,1.193584592065337,-1.3375805698134848,-2.093265085075446
SBep4_d750-I,d,I,4.866057427694555,-4.423120510996423,-2.06278902934216,0.4165855041815838,3.901808955243274,-1.9708308102634562
SBep13_c114-N,c,N,-1.6455059472171705,-1.7152751906786758,1.5937002611869844,0.7100977516943714,-3.1105608589803815,-1.121935479022052
SBep3_c453-I,c,I,-3.8148787304675773,0.6303116700659458,1.5100620077354645,0.16508685775346582,0.5287370636005638,-0.7135126564013262
SBep6_c909-N,c,N,-0.9759194132112176,-1.6447697151378815,-1.4580972215707386,-0.9135936903283705,0.8704216042547976,0.5248418143604504
SBep21_d1037-I,d,I,2.218835241050575,-0.3072247482605233,-1.0476462633259447,0.9826694841571696,-2.2364514045930552,1.2825935289106911
SBep23_d793-I,d,I,0.41607990037810894,3.2512695846853714,1.5715854291968885,0.11695340299376147,1.0305254340231218,-1.0359850745455024
SBep21_c188-I,c,I,2.024787982589236,0.8177058092371662,-1.0156510785551796,1.1187758741357752,0.40553635784563646,0.021386254358138287
SBep13_c409-N,c,N,2.538630424689275,-0.13420728867375656,-0.8577256571726246,2.9876490237749187,1.1599425360237716,-1.2649464163821162
SBep21_c724-N,c,N,2.379996402852971,-0.7331727752292028,-3.8174451414891526,3.6725177103805766,1.169630626983602,1.5890705338742304
SBep3_c1219-N,c,N,1.2116908248184868,-3.0808307801316235,-2.3449753512577542,-0.6436003670092755,-2.2836392349207957,0.041755853116892505
SBep4_c173-I,c,I,-1.7376557804125534,1.254607697733247,-1.621332934489573,3.023880687899202,0.33513138310303303,1.2864497061118825
SBep13_d406-N,d,N,3.75485415499917,-2.391811979881896,0.27602897697411666,-1.8452488082206184,-1.1444504145636964,-0.6832480013676967
SBep21_c1453-I,c,I,1.4154386745742262,0.6753935648146707,-3.4010018025801143,2.1896896776009287,3.818974350768446,-0.6706819937400583
SBep15_d52-I,d,I,-0.8079131626214491,0.08279866346102856,3.452508141088166,0.4974883040204766,0.8656881905925002,0.22913724779317457
SBep3_d679-N,d,N,3.738785500723799,-1.089305312524899,0.018656147330599383,0.34758905990987765,-1.559822326803598,-1.0259390326250415
SBep6_d430-I,d,I,1.9260511019757645,0.8178727210994977,0.8060129004508203,0.6975382686935754,-0.5301504293347001,0.42766436084705245
SBep2_d151-I,d,I,3.1705833337752765,-0.9256793824489251,0.2469571024811159,2.2560649593797337,0.34599397845318064,-1.003056423574679
SBep2_c123-N,c,N,-1.0426508840172204,-3.0611048006993276,0.42141942500729435,-0.6227491671883741,-0.16344612723121557,0.12018944005485206
SBep23_o1232-N,o,N,-1.8168597091685421,4.678612098507429,-1.9041810986663281,-1.1306912041383619,1.222287941160443,0.7345597589947505
SBep3_d988-I,d,I,0.0952312041938752,2.624294022871716,2.054893721917206,-0.5386507022914118,-0.6316558819727216,-0.04113885108911156
SBep21_s505-I,s,I,-1.8635105636216365,1.4090623608504347,-2.446944717424378,0.6947846123471098,1.0594249405431218,2.3934470322785204
SBep3_f113-I,f,I,0.737385872738762,2.5590675564391145,-1.7805067823015726,-1.5511404319565232,-1.2943317257626974,-0.8256027248718032
SBep27_c155-I,c,I,-1.7832989057981306,-1.9404364290656806,-1.860616644093256,-2.5552736937423104,-0.9943201403333196,0.42008338906179404
SBep14_c311-I,c,I,-1.2524889081129449,-0.324262100620025,-2.948219822479621,-0.3115013867685354,-1.9234543395441044,0.058299002019172985
SBep23_c1033-N,c,N,-1.295595405104466,-0.48600277999851177,-2.5494572215816254,-1.7329153551358372,-1.4547803892580462,1.3281344170139324
SBep16_c303-I,c,I,0.5151101861728706,0.7431966066828101,-4.45632110714301,-0.8968303070811713,2.131390018878035,-0.8877420763998769
SBep6_d253-N,d,N,0.36663908952627167,0.024950553588720364,-3.8194322817328583,1.3019841995287915,0.3321709599087826,0.2779801520899528
SBep4_c854-N,c,N,-2.822405282030456,-0.9550313516874825,2.818364716152558,1.3985122638640077,-0.026609384979370338,-2.4239155109715917
SBep23_c1125-N,c,N,-1.4213432381232014,-0.9298739151126139,-0.4321117927185049,-0.9098346213220385,-0.36481871794579424,0.542966941809207
