fileName,speaker,label,PC1,PC2,PC3
SBep4_c781-N,c,N,-1.9689571771356968,0.6792975634459427,0.09716259544810471
SBep14_d135-N,d,N,-0.3915350477008287,1.2998558921566268,-0.40543873148845616
SBep23_c307-I,c,I,1.2676734584526506,2.7526063982140596,-0.5017643528692072
SBep3_d1258-I,d,I,-1.4871747472013328,-0.6667700564357449,-0.10967054896790489
SBep3_c234-N,c,N,-0.01880806788184679,-3.917642027895666,0.9712742244284587
SBep15_c82-N,c,N,-1.8791310521797275,2.9276806952251695,0.8046581516275463
SBep4_c978-N,c,N,-2.030367817222032,1.1953787972017236,0.5808102672384967
SBep19_d392-I,d,I,-1.4296380845769197,-0.4878810440145678,0.5017342313295854
SBep28_c92-N,c,N,-1.3361370128608507,1.1693539979811454,1.225293100106071
SBep2_e368-I,e,I,4.737181501829195,-0.009582968005765788,0.47859305986905093
SBep23_c695-I,c,I,-1.7819839420431864,2.1316300766749934,-0.08050339650718073
SBep3_c664-N,c,N,0.562831872188997,-1.1900030099457617,-1.2498185718592398
SBep4_c990-N,c,N,-0.15946666914163068,-0.18359014326421913,0.3689782559014369
SBep16_c123-N,c,N,0.033426768612378616,-0.8657973033159749,0.4133776145938148
SBep4_d750-I,d,I,-3.0568473807376932,-2.7056020129602474,0.4832094380020481
SBep13_c114-N,c,N,-1.9089813521446488,0.19755504119421208,-0.023620815986713044
SBep3_c453-I,c,I,0.42098995724895943,2.345959267262075,-0.977742559211799
SBep6_c909-N,c,N,-1.5897702535405949,1.3307223879467642,-0.22166532498457928
SBep21_d1037-I,d,I,-0.8507163498058015,-1.1367757480490728,1.2850824884354803
SBep23_d793-I,d,I,3.1000453070372793,-1.6739952730770755,-1.138787487909928
SBep21_c188-I,c,I,0.2705437891404697,-0.9111561484389663,0.8426597038937065
SBep13_c409-N,c,N,0.041309159066946585,-2.243251386958547,1.2653838019477592
SBep21_c724-N,c,N,-1.2350451326376095,0.9269999458776078,3.3645155238135436
SBep3_c1219-N,c,N,-3.379134826530968,0.49666676922852326,0.49841010166107735
SBep4_c173-I,c,I,1.549488866922174,1.657238818008121,4.1655120450271115
SBep13_d406-N,d,N,-1.4031613709240158,-5.24397992314447,-2.0053422246213115
SBep21_c1453-I,c,I,0.5400409677383714,1.1497354560839703,1.1973587834042068
SBep15_d52-I,d,I,1.5070989402389474,-2.3937251278890868,-0.015755464138763532
SBep3_d679-N,d,N,-1.519384614638228,-2.37583053481226,0.4650313734300532
SBep6_d430-I,d,I,0.6348102291821042,-2.571641647572311,0.4471274900245205
SBep2_d151-I,d,I,-1.0869867056283582,-3.1417680680731657,1.2706320268203706
SBep2_c123-N,c,N,-3.3804935083014707,1.4190457269316852,-0.19017159507872283
SBep23_o1232-N,o,N,3.703000479964848,2.1186242196009397,-0.9444368628716826
SBep3_d988-I,d,I,2.496319984864717,-0.9880010616582192,-1.6556534306888242
SBep21_s505-I,s,I,0.9840680998719484,2.1330387261362174,0.8420545526340685
SBep3_f113-I,f,I,1.5004410776695918,0.6993631537948293,-1.1569498446041668
SBep27_c155-I,c,I,-1.9907065751349562,2.130779302829696,-1.2436515910928077
SBep14_c311-I,c,I,-1.0018941957575713,2.4701701002859324,0.06577364599246974
SBep23_c1033-N,c,N,-1.158115539411513,2.6446707416618,-0.48378748883305395
SBep16_c303-I,c,I,0.48120922866890453,2.2632257156171396,-0.5346645929852893
SBep6_d253-N,d,N,1.7626751013904165,4.0884030607973,0.585668699772438
SBep4_c854-N,c,N,-0.9481095684375105,0.6602031650041003,-0.016685268562451464
SBep23_c1125-N,c,N,-1.1179186643953654,1.130187271067361,-0.5088422469077105
SBep21_s879-N,s,N,2.0459801976085616,3.0161882149992993,-0.7989229772746352
SBep23_c844-N,c,N,-0.2875554010371611,3.2028790303973276,-0.6558888924133359
SBep2_c447-I,c,I,-1.1878266836712956,-0.5175203649323525,1.3483307236221032
SBep13_d783-N,d,N,-0.4648446308606136,-1.3152709237583604,-1.2920973458764926
SBep28_c375-N,c,N,-2.6596511939825356,2.154249980740796,0.699939719323014
SBep21_c168-I,c,I,-3.3636032731306,2.504182685379708,1.2287055970790108
SBep2_d191-N,d,N,-2.1723350638879984,-0.17199840232578018,0.3559695987302282
SBep4_h931-N,h,N,-2.673069709429113,1.5234720920220939,1.1724631255033586
SBep13_c600-N,c,N,0.02122848626329783,0.4737006707623418,-1.1195468037062242
SBep6_d752-I,d,I,0.8222840553859146,-2.1186239614351328,-1.246112822413966
SBep3_d1043-I,d,I,-0.6617832173937633,0.3260333375346392,1.9507278550352656
SBep4_d919-N,d,N,-1.2155924505227194,-3.3733159457336237,3.7445511141380146
SBep3_f128-N,f,N,1.334834695289447,1.6086520814146403,0.6068308642944938
SBep19_c279-I,c,I,1.5641568290031698,5.635564666048304,-0.34838363748359014
SBep2_d2-N,d,N,-1.3389634472884206,-0.6467429845330589,2.1304793624267098
SBep16_d479-N,d,N,0.39675823405755895,-0.9032699618522747,-0.7794874579348094
SBep6_d197-I,d,I,-1.292104353463496,-1.4186507619298012,0.6379046237879603
SBep4_d691-N,d,N,-3.0242529698301803,1.230671296595954,1.582448752413643
SBep14_d364-I,d,I,3.05985771219267,-2.076032957340385,-2.4567542720820628
SBep21_d762-I,d,I,-1.378026863471116,-1.422618000324878,-2.300035077538908
SBep16_c95-N,c,N,-0.8605519423519055,-0.9083941448474923,2.5143784801262914
SBep27_t217-N,t,N,-3.516639509780901,-0.1709492324939047,0.03374629861391335
SBep3_d1226-N,d,N,-1.5753352942776748,-5.4859627943625355,1.3079970154680434
SBep21_c1663-N,c,N,-1.9277442348146707,2.095504221796971,1.1907816987570365
SBep16_c468-I,c,I,0.7978475231765095,1.2718184720730492,-0.5720633086683831
SBep3_d1208-I,d,I,-0.3013746849805812,-0.9630119621584716,1.2687487556998953
SBep23_c494-N,c,N,0.782552390151951,2.193692136296543,-0.41489340260239954
SBep23_c1336-N,c,N,0.9481043549293675,1.5122055526197844,0.7267840348501952
SBep4_c1257-N,c,N,-1.222028894707572,-4.189878175454947,1.2249051352740898
SBep3_f1108-I,f,I,0.9393825052652957,0.39804300202001003,-1.2005787153655305
SBep13_c252-N,c,N,0.601117741707431,0.8745213393826866,1.2345467690858967
SBep27_d87-I,d,I,2.37566803786556,-0.2080869995965773,-2.102968111034364
SBep3_f831-N,f,N,-1.132109845552752,-1.5820651324214308,-2.0171903678109384
SBep19_d304-N,d,N,-1.5107822170614917,-0.5202865075230868,0.05795513814380697
SBep3_d908-N,d,N,-1.5040926998263613,1.2671488765786394,0.3967843545585475
SBep21_c883-N,c,N,-2.783111523751708,2.1939564296128924,0.11891099052564044
SBep4_d1131-N,d,N,-1.691498040525776,-2.700075435480355,1.062827145087453
SBep23_o1160-N,o,N,-0.18182707333923714,2.8719440310834297,-0.8262422191725572
SBep21_d1480-N,d,N,-1.055268564637834,-1.2112017284746275,-1.1949733222889547
SBep3_f537-N,f,N,2.711525835919229,2.1286441765296846,-1.3922127076788136
SBep16_c4-I,c,I,-0.7289229392042376,1.45481338434486,-1.4863451526483185
SBep13_d763-I,d,I,0.7235493210345326,-0.10483280502245217,-0.5190917398029079
SBep23_c1461-N,c,N,-2.9732301922430993,0.8052019996900577,-0.5523067517773306
SBep3_c118-N,c,N,-1.3382363345642996,0.25389229000615243,-0.945342030343327
SBep15_c15-N,c,N,-1.1519675601043862,2.3436560539564413,-0.24957087090396465
SBep16_c253-N,c,N,-0.42558631333882385,-1.5183062239349687,2.590339232797023
SBep23_o143-I,o,I,-0.367642879775178,1.468578956473345,-1.2313713078101949
SBep4_c550-N,c,N,-2.095603412355134,0.6925228717114599,-0.16120899241297465
SBep21_d1432-I,d,I,-0.5786552158366743,-0.6574650240923681,-0.8599525543853886
SBep3_c16-I,c,I,0.9391289043958162,1.0533945762209733,3.478866785922796
SBep21_s1045-N,s,N,3.962879955252661,0.19644155562914506,-0.0506760009742585
SBep28_d454-I,d,I,-0.9750170698093773,0.23938913490141936,-0.6263668205984292
SBep2_c272-I,c,I,-2.4875797606313026,-0.8121500441103623,-0.3889056667744152
SBep2_d50-N,d,N,-3.236407515724843,-0.16645865285120975,0.06322095581443124
SBep15_c396-N,c,N,-2.842538404336439,4.268618434258895,1.0019683269525381
SBep3_d801-I,d,I,-1.5113798331556496,0.14580368114484854,-0.06635730540989336
SBep3_f573-I,f,I,3.0769065551852077,2.469526659554481,-1.8973523126608944
SBep6_j180-I,j,I,1.9437857695383973,2.5703640348157526,-0.5082159322213625
SBep21_d1422-N,d,N,-0.3189806396335103,1.4787979458115799,2.785406566598355
SBep2_d91-N,d,N,-1.6019636465653362,1.6051800150061497,0.09990014462482828
SBep23_c1398-N,c,N,-2.067768604865215,3.142587224155547,0.2679261093842078
SBep3_d626-N,d,N,-1.8864455425408506,-1.9359790905874723,-0.7492060775689913
SBep14_d24-I,d,I,-1.4742200185932042,0.32670083492974056,1.7743073537621823
SBep21_d522-N,d,N,-2.3128218799853757,-2.0026503465496193,-0.36055851232031527
SBep28_d52-I,d,I,1.3781766859261113,0.7435786107580997,3.041718940973811
SBep2_e416-N,e,N,1.4114292314299093,2.670826011851808,-1.6777457259381385
SBep16_d395-I,d,I,-0.8433093484576272,-2.3572604649244924,1.2779077834148327
SBep6_d823-I,d,I,1.5677238979078523,-4.411606817914051,-0.41540761965755607
SBep15_c520-I,c,I,1.6358873129162752,5.652553498729817,0.8489598322416229
SBep2_d573-I,d,I,4.454012597540716,-3.5360142919808824,3.472028474692704
SBep27_d169-I,d,I,-2.4226563917348565,-0.8603304799814242,1.4929903887410338
SBep2_c19-N,c,N,0.2912961920588983,0.2651673507760079,0.5958689964761594
SBep23_c73-I,c,I,-2.949814151988969,-0.4132474643886437,-0.5005477813801731
