,name,speaker,lab,time
0,SPPep12_y80,Y,n,1
1,SPPep12_y80,Y,n,2
2,SPPep12_y80,Y,n,3
3,SPPep12_y80,Y,n,4
4,SPPep12_y80,Y,n,5
5,SPPep12_y80,Y,n,6
6,SPPep12_y80,Y,n,7
7,SPPep12_y80,Y,n,8
8,SPPep12_y80,Y,n,9
9,SPPep12_y80,Y,n,10
10,SPPep12_y80,Y,n,11
11,SPPep12_y80,Y,n,12
12,SPPep12_y80,Y,n,13
13,SPPep12_y80,Y,n,14
14,SPPep12_y80,Y,n,15
15,SPPep12_y80,Y,n,16
16,SPPep12_y80,Y,n,17
17,SPPep12_y80,Y,n,18
18,SPPep12_y80,Y,n,19
19,SPPep12_y80,Y,n,20
20,SPPep12_y80,Y,n,21
21,SPPep12_y80,Y,n,22
22,SPPep12_y80,Y,n,23
23,SPPep12_y80,Y,n,24
24,SPPep12_y80,Y,n,25
25,SPPep12_y80,Y,n,26
26,SPPep12_y80,Y,n,27
27,SPPep12_y80,Y,n,28
28,SPPep12_y80,Y,n,29
29,SPPep12_y80,Y,n,30
30,SPPep12_y80,Y,n,31
31,SPPep12_y80,Y,n,32
32,SPPep12_y80,Y,n,33
33,SPPep12_y80,Y,n,34
34,SPPep12_y80,Y,n,35
35,SPPep12_y80,Y,n,36
36,SPPep12_y80,Y,n,37
37,SPPep12_y80,Y,n,38
38,SPPep12_y80,Y,n,39
39,SPPep12_y80,Y,n,40
40,SPPep12_y80,Y,n,41
41,SPPep12_y80,Y,n,42
42,SPPep12_y80,Y,n,43
43,SPPep12_y80,Y,n,44
44,SPPep12_y80,Y,n,45
45,SPPep12_y80,Y,n,46
46,SPPep12_y80,Y,n,47
47,SPPep12_y80,Y,n,48
48,SPPep12_y80,Y,n,49
49,SPPep12_y80,Y,n,50
50,SPPep12_y80,Y,n,51
51,SPPep12_y80,Y,n,52
52,SPPep12_y80,Y,n,53
53,SPPep12_y80,Y,n,54
54,SPPep12_y80,Y,n,55
55,SPPep12_y80,Y,n,56
56,SPPep12_y80,Y,n,57
57,SPPep12_y80,Y,n,58
58,SPPep12_y80,Y,n,59
59,SPPep12_y80,Y,n,60
60,SPPep12_y80,Y,n,61
61,SPPep12_y80,Y,n,62
62,SPPep12_y80,Y,n,63
63,SPPep12_y80,Y,n,64
64,SPPep12_y80,Y,n,65
65,SPPep12_y80,Y,n,66
66,SPPep12_y80,Y,n,67
67,SPPep12_y80,Y,n,68
68,SPPep12_y80,Y,n,69
69,SPPep12_y80,Y,n,70
70,SPPep12_y80,Y,n,71
71,SPPep12_y80,Y,n,72
72,SPPep12_y80,Y,n,73
73,SPPep12_y80,Y,n,74
74,SPPep12_y80,Y,n,75
75,PPep12_y34_I,Y,i,1
76,PPep12_y34_I,Y,i,2
77,PPep12_y34_I,Y,i,3
78,PPep12_y34_I,Y,i,4
79,PPep12_y34_I,Y,i,5
80,PPep12_y34_I,Y,i,6
81,PPep12_y34_I,Y,i,7
82,PPep12_y34_I,Y,i,8
83,PPep12_y34_I,Y,i,9
84,PPep12_y34_I,Y,i,10
85,PPep12_y34_I,Y,i,11
86,PPep12_y34_I,Y,i,12
87,PPep12_y34_I,Y,i,13
88,PPep12_y34_I,Y,i,14
89,PPep12_y34_I,Y,i,15
90,PPep12_y34_I,Y,i,16
91,PPep12_y34_I,Y,i,17
92,PPep12_y34_I,Y,i,18
93,PPep12_y34_I,Y,i,19
94,PPep12_y34_I,Y,i,20
95,PPep12_y34_I,Y,i,21
96,PPep12_y34_I,Y,i,22
97,PPep12_y34_I,Y,i,23
98,PPep12_y34_I,Y,i,24
99,PPep12_y34_I,Y,i,25
100,PPep12_y34_I,Y,i,26
101,PPep12_y34_I,Y,i,27
102,PPep12_y34_I,Y,i,28
103,PPep12_y34_I,Y,i,29
104,PPep12_y34_I,Y,i,30
105,PPep12_y34_I,Y,i,31
106,PPep12_y34_I,Y,i,32
107,PPep12_y34_I,Y,i,33
108,PPep12_y34_I,Y,i,34
109,PPep12_y34_I,Y,i,35
110,PPep12_y34_I,Y,i,36
111,PPep12_y34_I,Y,i,37
112,PPep12_y34_I,Y,i,38
113,PPep12_y34_I,Y,i,39
114,PPep12_y34_I,Y,i,40
115,PPep12_y34_I,Y,i,41
116,PPep12_y34_I,Y,i,42
117,PPep12_y34_I,Y,i,43
118,PPep12_y34_I,Y,i,44
119,PPep12_y34_I,Y,i,45
120,PPep12_y34_I,Y,i,46
121,PPep12_y34_I,Y,i,47
122,PPep12_y34_I,Y,i,48
123,PPep12_y34_I,Y,i,49
124,PPep12_y34_I,Y,i,50
125,PPep12_y34_I,Y,i,51
126,PPep12_y34_I,Y,i,52
127,PPep12_y34_I,Y,i,53
128,PPep12_y34_I,Y,i,54
129,PPep12_y34_I,Y,i,55
130,PPep12_y34_I,Y,i,56
131,PPep12_y34_I,Y,i,57
132,PPep12_y34_I,Y,i,58
133,PPep12_y34_I,Y,i,59
134,PPep12_y34_I,Y,i,60
135,PPep12_y34_I,Y,i,61
136,PPep12_y34_I,Y,i,62
137,PPep12_y34_I,Y,i,63
138,PPep12_y34_I,Y,i,64
139,PPep12_y34_I,Y,i,65
140,PPep12_y34_I,Y,i,66
141,PPep12_y34_I,Y,i,67
142,PPep12_y34_I,Y,i,68
143,PPep12_y34_I,Y,i,69
144,PPep12_y34_I,Y,i,70
145,PPep12_y34_I,Y,i,71
146,PPep12_y34_I,Y,i,72
147,PPep12_y34_I,Y,i,73
148,PPep12_y34_I,Y,i,74
149,PPep12_y34_I,Y,i,75
150,SPPep12_y69,Y,n,1
151,SPPep12_y69,Y,n,2
152,SPPep12_y69,Y,n,3
153,SPPep12_y69,Y,n,4
154,SPPep12_y69,Y,n,5
155,SPPep12_y69,Y,n,6
156,SPPep12_y69,Y,n,7
157,SPPep12_y69,Y,n,8
158,SPPep12_y69,Y,n,9
159,SPPep12_y69,Y,n,10
160,SPPep12_y69,Y,n,11
161,SPPep12_y69,Y,n,12
162,SPPep12_y69,Y,n,13
163,SPPep12_y69,Y,n,14
164,SPPep12_y69,Y,n,15
165,SPPep12_y69,Y,n,16
166,SPPep12_y69,Y,n,17
167,SPPep12_y69,Y,n,18
168,SPPep12_y69,Y,n,19
169,SPPep12_y69,Y,n,20
170,SPPep12_y69,Y,n,21
171,SPPep12_y69,Y,n,22
172,SPPep12_y69,Y,n,23
173,SPPep12_y69,Y,n,24
174,SPPep12_y69,Y,n,25
175,SPPep12_y69,Y,n,26
176,SPPep12_y69,Y,n,27
177,SPPep12_y69,Y,n,28
178,SPPep12_y69,Y,n,29
179,SPPep12_y69,Y,n,30
180,SPPep12_y69,Y,n,31
181,SPPep12_y69,Y,n,32
182,SPPep12_y69,Y,n,33
183,SPPep12_y69,Y,n,34
