,name,speaker,lab,time
0,SPPep12_g10,G,n,1
1,SPPep12_g10,G,n,2
2,SPPep12_g10,G,n,3
3,SPPep12_g10,G,n,4
4,SPPep12_g10,G,n,5
5,SPPep12_g10,G,n,6
6,SPPep12_g10,G,n,7
7,SPPep12_g10,G,n,8
8,SPPep12_g10,G,n,9
9,SPPep12_g10,G,n,10
10,SPPep12_g10,G,n,11
11,SPPep12_g10,G,n,12
12,SPPep12_g10,G,n,13
13,SPPep12_g10,G,n,14
14,SPPep12_g10,G,n,15
15,SPPep12_g10,G,n,16
16,SPPep12_g10,G,n,17
17,SPPep12_g10,G,n,18
18,SPPep12_g10,G,n,19
19,SPPep12_g10,G,n,20
20,SPPep12_g10,G,n,21
21,SPPep12_g10,G,n,22
22,SPPep12_g10,G,n,23
23,SPPep12_g10,G,n,24
24,SPPep12_g10,G,n,25
25,SPPep12_g10,G,n,26
26,SPPep12_g10,G,n,27
27,SPPep12_g10,G,n,28
28,SPPep12_g10,G,n,29
29,SPPep12_g10,G,n,30
30,SPPep12_g10,G,n,31
31,SPPep12_g10,G,n,32
32,SPPep12_g10,G,n,33
33,SPPep12_g10,G,n,34
34,SPPep12_g10,G,n,35
35,SPPep12_g10,G,n,36
36,SPPep12_g10,G,n,37
37,SPPep12_g10,G,n,38
38,SPPep12_g10,G,n,39
39,SPPep12_g10,G,n,40
40,SPPep12_g10,G,n,41
41,SPPep12_g10,G,n,42
42,SPPep12_g10,G,n,43
43,SPPep12_g10,G,n,44
44,SPPep12_g10,G,n,45
45,SPPep12_g10,G,n,46
46,SPPep12_g10,G,n,47
47,SPPep12_g10,G,n,48
48,SPPep12_g10,G,n,49
49,SPPep12_g10,G,n,50
50,SPPep12_g10,G,n,51
51,SPPep12_g10,G,n,52
52,SPPep12_g10,G,n,53
53,SPPep12_g10,G,n,54
54,SPPep12_g10,G,n,55
55,SPPep12_g10,G,n,56
56,SPPep12_g10,G,n,57
57,SPPep12_g10,G,n,58
58,SPPep12_g10,G,n,59
59,SPPep12_g10,G,n,60
60,SPPep12_g10,G,n,61
61,SPPep12_g10,G,n,62
62,SPPep12_g10,G,n,63
63,SPPep12_g10,G,n,64
64,SPPep12_g10,G,n,65
65,SPPep12_g10,G,n,66
66,SPPep12_g10,G,n,67
67,SPPep12_g10,G,n,68
68,SPPep12_g10,G,n,69
69,SPPep12_g10,G,n,70
70,SPPep12_g10,G,n,71
71,SPPep12_g10,G,n,72
72,SPPep12_g10,G,n,73
73,SPPep12_g10,G,n,74
74,SPPep12_g10,G,n,75
75,SPPep12_g50,G,n,1
76,SPPep12_g50,G,n,2
77,SPPep12_g50,G,n,3
78,SPPep12_g50,G,n,4
79,SPPep12_g50,G,n,5
80,SPPep12_g50,G,n,6
81,SPPep12_g50,G,n,7
82,SPPep12_g50,G,n,8
83,SPPep12_g50,G,n,9
84,SPPep12_g50,G,n,10
85,SPPep12_g50,G,n,11
86,SPPep12_g50,G,n,12
87,SPPep12_g50,G,n,13
88,SPPep12_g50,G,n,14
89,SPPep12_g50,G,n,15
90,SPPep12_g50,G,n,16
91,SPPep12_g50,G,n,17
92,SPPep12_g50,G,n,18
93,SPPep12_g50,G,n,19
94,SPPep12_g50,G,n,20
95,SPPep12_g50,G,n,21
96,SPPep12_g50,G,n,22
97,SPPep12_g50,G,n,23
98,SPPep12_g50,G,n,24
99,SPPep12_g50,G,n,25
100,SPPep12_g50,G,n,26
101,SPPep12_g50,G,n,27
102,SPPep12_g50,G,n,28
103,SPPep12_g50,G,n,29
104,SPPep12_g50,G,n,30
105,SPPep12_g50,G,n,31
106,SPPep12_g50,G,n,32
107,SPPep12_g50,G,n,33
108,SPPep12_g50,G,n,34
109,SPPep12_g50,G,n,35
110,SPPep12_g50,G,n,36
111,SPPep12_g50,G,n,37
112,SPPep12_g50,G,n,38
113,SPPep12_g50,G,n,39
114,SPPep12_g50,G,n,40
115,SPPep12_g50,G,n,41
116,SPPep12_g50,G,n,42
117,SPPep12_g50,G,n,43
118,SPPep12_g50,G,n,44
119,SPPep12_g50,G,n,45
120,SPPep12_g50,G,n,46
121,SPPep12_g50,G,n,47
122,SPPep12_g50,G,n,48
123,SPPep12_g50,G,n,49
124,SPPep12_g50,G,n,50
125,SPPep12_g50,G,n,51
126,SPPep12_g50,G,n,52
127,SPPep12_g50,G,n,53
128,SPPep12_g50,G,n,54
129,SPPep12_g50,G,n,55
130,SPPep12_g50,G,n,56
131,SPPep12_g50,G,n,57
132,SPPep12_g50,G,n,58
133,SPPep12_g50,G,n,59
134,SPPep12_g50,G,n,60
135,SPPep12_g50,G,n,61
136,SPPep12_g50,G,n,62
137,SPPep12_g50,G,n,63
138,SPPep12_g50,G,n,64
139,SPPep12_g50,G,n,65
140,SPPep12_g50,G,n,66
141,SPPep12_g50,G,n,67
142,SPPep12_g50,G,n,68
143,SPPep12_g50,G,n,69
144,SPPep12_g50,G,n,70
145,SPPep12_g50,G,n,71
146,SPPep12_g50,G,n,72
147,SPPep12_g50,G,n,73
148,SPPep12_g50,G,n,74
149,SPPep12_g50,G,n,75
150,SPPep12_g44,G,n,1
151,SPPep12_g44,G,n,2
152,SPPep12_g44,G,n,3
153,SPPep12_g44,G,n,4
154,SPPep12_g44,G,n,5
155,SPPep12_g44,G,n,6
156,SPPep12_g44,G,n,7
157,SPPep12_g44,G,n,8
158,SPPep12_g44,G,n,9
159,SPPep12_g44,G,n,10
160,SPPep12_g44,G,n,11
161,SPPep12_g44,G,n,12
162,SPPep12_g44,G,n,13
163,SPPep12_g44,G,n,14
164,SPPep12_g44,G,n,15
165,SPPep12_g44,G,n,16
166,SPPep12_g44,G,n,17
167,SPPep12_g44,G,n,18
168,SPPep12_g44,G,n,19
169,SPPep12_g44,G,n,20
170,SPPep12_g44,G,n,21
171,SPPep12_g44,G,n,22
172,SPPep12_g44,G,n,23
173,SPPep12_g44,G,n,24
174,SPPep12_g44,G,n,25
175,SPPep12_g44,G,n,26
176,SPPep12_g44,G,n,27
177,SPPep12_g44,G,n,28
178,SPPep12_g44,G,n,29
179,SPPep12_g44,G,n,30
