filename	speaker	gender	label
b68_I	0	0	0
y26_I	4	0	0
y31	4	0	1
b10_I	0	0	0
y4	4	0	1
g64_I	1	1	0
g21_I	1	1	0
r80_I	3	2	0
g68	1	1	1
p24_I	2	1	0
b111	0	0	1
b107	0	0	1
g82_I	1	1	0
y78_I	4	0	0
g95	1	1	1
b73_I	0	0	0
g56	1	1	1
p26_I	2	1	0
p144_I	2	1	0
r70	3	2	1
g43	1	1	1
r23_I	3	2	0
g27_I	1	1	0
p105_I	2	1	0
g90	1	1	1
g65B	1	1	1
b37	0	0	1
r60	3	2	1
b36	0	0	1
r199	3	2	1
p88	2	1	1
b103	0	0	1
r84_I	3	2	0
b88_I	0	0	0
y20	4	0	1
g50	1	1	1
g44	1	1	1
p75	2	1	1
g86	1	1	1
g18_I	1	1	0
y21	4	0	1
r135_I	3	2	0
y79_I	4	0	0
r83_I	3	2	0
g22	1	1	1
b52	0	0	1
r11	3	2	1
g83_I	1	1	0
y60_I	4	0	0
p12	2	1	1
p46_I	2	1	0
b11_I	0	0	0
p147_I	2	1	0
y86	4	0	1
g58_I	1	1	0
g3	1	1	1
b50	0	0	1
y87	4	0	1
y50	4	0	1
p60_I	2	1	0
p25_I	2	1	0
p163_I	2	1	0
b35_I	0	0	0
b118_I	0	0	0
p111	2	1	1
p115	2	1	1
b40	0	0	1
r134_I	3	2	0
g24_I	1	1	0
y69	4	0	1
r7	3	2	1
y23_I	4	0	0
b90_I	0	0	0
p114	2	1	1
y80	4	0	1
g26_I	1	1	0
b33_I	0	0	0
y7_I	4	0	0
r282	3	2	1
y34_I	4	0	0
y10_I	4	0	0
r283_I	3	2	0
r17_I	3	2	0
y66	4	0	1
g17_I	1	1	0
p34_I	2	1	0
b61_I	0	0	0
p2	2	1	1
y64	4	0	1
g28_I	1	1	0
b65	0	0	1
r109	3	2	1
g29	1	1	1
p95_I	2	1	0
r300_I	3	2	0
y65	4	0	1
y59	4	0	1
r253	3	2	1
b114_I	0	0	0
r284	3	2	1
b49	0	0	1
p51_I	2	1	0
g10	1	1	1
p6	2	1	1
g94_I	1	1	0
g96_I	1	1	0
r13_I	3	2	0
r278	3	2	1
y29_I	4	0	0
y62	4	0	1
p37	2	1	1
g13_I	1	1	0
r127_I	3	2	0
y48_I	4	0	0
r133	3	2	1
y3_I	4	0	0
p145	2	1	1
r104_I	3	2	0
p8_I	2	1	0
b108_I	0	0	0
r47	3	2	1
b39	0	0	1
p112_I	2	1	0
g5_I	1	1	0
g49	1	1	1
p93	2	1	1
y35_I	4	0	0
p91	2	1	1
r122_I	3	2	0
y6_I	4	0	0
r266_I	3	2	0
b13	0	0	1
b27_I	0	0	0
b5	0	0	1
b127	0	0	1
p33_I	2	1	0
y28_I	4	0	0
p94	2	1	1
r96	3	2	1
b117_I	0	0	0
p42	2	1	1
p81	2	1	1
r231	3	2	1
r46B_I	3	2	0
b115_I	0	0	0
g65	1	1	1
b29	0	0	1
y17_I	4	0	0
r150	3	2	1
y9	4	0	1
