filename	speaker	gender	label
b110	0	0	1
b104	0	0	1
p158	2	1	1
b68_I	0	0	0
r203	3	2	1
y26_I	4	0	0
y19	4	0	1
y31	4	0	1
b10_I	0	0	0
p64	2	1	1
g55	1	1	1
b55_I	0	0	0
g41	1	1	1
p70	2	1	1
g69	1	1	1
p58	2	1	1
y4	4	0	1
r149	3	2	1
r175	3	2	1
r99	3	2	1
r161	3	2	1
b31	0	0	1
r66	3	2	1
r72	3	2	1
b25	0	0	1
g64_I	1	1	0
g21_I	1	1	0
b19	0	0	1
b18	0	0	1
p162_I	2	1	0
b34_I	0	0	0
r73	3	2	1
b30	0	0	1
r67	3	2	1
r80_I	3	2	0
r160	3	2	1
r174	3	2	1
r98	3	2	1
y5	4	0	1
p59	2	1	1
g68	1	1	1
p24_I	2	1	0
g40	1	1	1
p65	2	1	1
y24	4	0	1
g97	1	1	1
y18	4	0	1
r216	3	2	1
r202	3	2	1
p159	2	1	1
b105	0	0	1
b111	0	0	1
b107	0	0	1
b113	0	0	1
g82_I	1	1	0
r228	3	2	1
r214	3	2	1
r200	3	2	1
g81	1	1	1
y78_I	4	0	0
g95	1	1	1
r82_I	3	2	0
y32	4	0	1
p98	2	1	1
g42	1	1	1
p73	2	1	1
b73_I	0	0	0
p67	2	1	1
g56	1	1	1
r162	3	2	1
r176	3	2	1
b26	0	0	1
p26_I	2	1	0
r71	3	2	1
r65	3	2	1
r189	3	2	1
b32	0	0	1
r59	3	2	1
r58	3	2	1
p144_I	2	1	0
r64	3	2	1
r188	3	2	1
r70	3	2	1
r177	3	2	1
r163	3	2	1
g23_I	1	1	0
g57	1	1	1
p66	2	1	1
p72	2	1	1
g43	1	1	1
y27	4	0	1
p99	2	1	1
y33	4	0	1
g80	1	1	1
r201	3	2	1
r215	3	2	1
r229	3	2	1
b112	0	0	1
r23_I	3	2	0
b106	0	0	1
b102	0	0	1
b116	0	0	1
g27_I	1	1	0
r211	3	2	1
r239	3	2	1
p105_I	2	1	0
p140_I	2	1	0
y37	4	0	1
p89	2	1	1
g90	1	1	1
r27_I	3	2	0
y2	4	0	1
g47	1	1	1
p76	2	1	1
p62	2	1	1
g53	1	1	1
r167	3	2	1
r173	3	2	1
g65B	1	1	1
r48	3	2	1
r74	3	2	1
r198	3	2	1
b23	0	0	1
b37	0	0	1
r60	3	2	1
r297_I	3	2	0
b36	0	0	1
r61	3	2	1
r75	3	2	1
b22	0	0	1
r199	3	2	1
r49	3	2	1
r172	3	2	1
r166	3	2	1
g52	1	1	1
p63	2	1	1
p77	2	1	1
g46	1	1	1
g85	1	1	1
y22	4	0	1
y36	4	0	1
p88	2	1	1
r238	3	2	1
r204	3	2	1
r210	3	2	1
b77_I	0	0	0
b103	0	0	1
b129	0	0	1
p161	2	1	1
p149	2	1	1
b101	0	0	1
r84_I	3	2	0
r206	3	2	1
b88_I	0	0	0
y20	4	0	1
b48_I	0	0	0
g93	1	1	1
g87	1	1	1
y1	4	0	1
p49	2	1	1
g78	1	1	1
p61	2	1	1
g50	1	1	1
g44	1	1	1
p75	2	1	1
r170	3	2	1
r164	3	2	1
r88	3	2	1
r158	3	2	1
r63	3	2	1
b20	0	0	1
g84_I	1	1	0
r76	3	2	1
r62	3	2	1
r159	3	2	1
r165	3	2	1
r171	3	2	1
p74	2	1	1
g51	1	1	1
g79	1	1	1
p48	2	1	1
g86	1	1	1
g92	1	1	1
g18_I	1	1	0
y21	4	0	1
r213	3	2	1
r207	3	2	1
b14_I	0	0	0
b100	0	0	1
p148	2	1	1
p160	2	1	1
b128	0	0	1
r135_I	3	2	0
p113	2	1	1
p107	2	1	1
y79_I	4	0	0
r260	3	2	1
r83_I	3	2	0
r274	3	2	1
y46	4	0	1
y52	4	0	1
g36	1	1	1
p13	2	1	1
g22	1	1	1
y85	4	0	1
y91	4	0	1
b91	0	0	1
b85	0	0	1
r116	3	2	1
r102	3	2	1
b52	0	0	1
b46	0	0	1
r11	3	2	1
g83_I	1	1	0
r39	3	2	1
g1	1	1	1
r38	3	2	1
r10	3	2	1
y60_I	4	0	0
b53	0	0	1
y25_I	4	0	0
r103	3	2	1
r117	3	2	1
b84	0	0	1
y90	4	0	1
y84	4	0	1
p12	2	1	1
y53	4	0	1
