id,speaker,label
SPPep12_y34-I,y,I
SPPep12_y20-N,y,N
SPPep12_y24-N,y,N
SPPep12_y58-N,y,N
SPPep12_y7-I,y,I
SPPep12_y57-N,y,N
SPPep12_y10-I,y,I
SPPep12_y16-N,y,N
SPPep12_y31-N,y,N
SPPep12_y94-N,y,N
SPPep12_y35-I,y,I
SPPep12_y2-N,y,N
SPPep12_y52-N,y,N
SPPep12_y55-N,y,N
SPPep12_y76-N,y,N
SPPep12_y15-N,y,N
SPPep12_y46-N,y,N
SPPep12_y96-I,y,I
SPPep12_y38-N,y,N
SPPep12_y17-I,y,I
SPPep12_y6-I,y,I
SPPep12_y22-N,y,N
SPPep12_y49-N,y,N
SPPep12_y79-I,y,I
SPPep12_y9-N,y,N
SPPep12_y64-N,y,N
SPPep12_y66-N,y,N
SPPep12_y4-N,y,N
SPPep12_y30-I,y,I
SPPep12_y74-I,y,I
SPPep12_y37-N,y,N
SPPep12_y68-N,y,N
SPPep12_y88-N,y,N
SPPep12_y85-N,y,N
SPPep12_y1-N,y,N
SPPep12_y27-N,y,N
SPPep12_y23-I,y,I
SPPep12_y48-I,y,I
SPPep12_y26-I,y,I
SPPep12_y70-N,y,N
SPPep12_y80-N,y,N
SPPep12_y44-N,y,N
SPPep12_y82-N,y,N
SPPep12_y40-N,y,N
SPPep12_y61-N,y,N
SPPep12_y5-N,y,N
SPPep12_y36-N,y,N
SPPep12_y72-N,y,N
SPPep12_y77-N,y,N
SPPep12_y69-N,y,N
SPPep12_y39-N,y,N
SPPep12_y90-N,y,N
SPPep12_y75-N,y,N
SPPep12_y73-N,y,N
SPPep12_y12-N,y,N
SPPep12_y13-N,y,N
SPPep12_y86-N,y,N
SPPep12_y92-N,y,N
SPPep12_y3-I,y,I
SPPep12_y56-N,y,N
SPPep12_y25-I,y,I
SPPep12_y14-N,y,N
SPPep12_y60-I,y,I
SPPep12_y42-N,y,N
SPPep12_y84-N,y,N
SPPep12_y59-N,y,N
SPPep12_y45-N,y,N
SPPep12_y63-N,y,N
SPPep12_y18-N,y,N
SPPep12_y28-I,y,I
SPPep12_y95-I,y,I
SPPep12_y78-I,y,I
SPPep12_y8-N,y,N
SPPep12_y54-N,y,N
SPPep12_y89-N,y,N
SPPep12_y47-N,y,N
SPPep12_y81-N,y,N
SPPep12_y41-N,y,N
SPPep12_y33-N,y,N
SPPep12_y67-N,y,N
SPPep12_y50-N,y,N
SPPep12_y19-N,y,N
SPPep12_y32-N,y,N
SPPep12_y53-N,y,N
SPPep12_y65-N,y,N
SPPep12_y21-N,y,N
