id,speaker,label
SPPep12_g49-N,g,N
SPPep12_r283-I,r,I
SPPep12_b115-I,b,I
SPPep12_y7-I,y,I
SPPep12_y78-I,y,I
SPPep12_y62-N,y,N
SPPep12_r231-N,r,N
SPPep12_r7-N,r,N
SPPep12_y17-I,y,I
SPPep12_y23-I,y,I
SPPep12_r96-N,r,N
SPPep12_y59-N,y,N
SPPep12_y28-I,y,I
SPPep12_b27-I,b,I
SPPep12_p60-I,p,I
SPPep12_b127-N,b,N
SPPep12_r47-N,r,N
SPPep12_p91-N,p,N
SPPep12_g90-N,g,N
SPPep12_y79-I,y,I
SPPep12_g58-I,g,I
SPPep12_y4-N,y,N
SPPep12_g64-I,g,I
SPPep12_y20-N,y,N
SPPep12_g83-I,g,I
SPPep12_b117-I,b,I
SPPep12_g13-I,g,I
SPPep12_y31-N,y,N
SPPep12_y29-I,y,I
SPPep12_g65-N,g,N
SPPep12_b88-I,b,I
SPPep12_p88-N,p,N
SPPep12_p95-I,p,I
SPPep12_p147-I,p,I
SPPep12_b90-I,b,I
SPPep12_g28-I,g,I
SPPep12_r127-I,r,I
SPPep12_g18-I,g,I
SPPep12_g95-N,g,N
SPPep12_r80-I,r,I
SPPep12_r199-N,r,N
SPPep12_g50-N,g,N
SPPep12_r84-I,r,I
SPPep12_p34-I,p,I
SPPep12_r60-N,r,N
SPPep12_r104-I,r,I
SPPep12_p111-N,p,N
SPPep12_b29-N,b,N
SPPep12_g17-I,g,I
SPPep12_r266-I,r,I
SPPep12_p37-N,p,N
SPPep12_r83-I,r,I
SPPep12_b39-N,b,N
SPPep12_g10-N,g,N
SPPep12_y21-N,y,N
SPPep12_y65-N,y,N
SPPep12_r109-N,r,N
SPPep12_y10-I,y,I
SPPep12_b73-I,b,I
SPPep12_p81-N,p,N
SPPep12_b49-N,b,N
SPPep12_g27-I,g,I
SPPep12_y50-N,y,N
SPPep12_b10-I,b,I
SPPep12_y9-N,y,N
SPPep12_r278-N,r,N
SPPep12_g94-I,g,I
SPPep12_p105-I,p,I
SPPep12_p75-N,p,N
SPPep12_b52-N,b,N
SPPep12_r11-N,r,N
SPPep12_r282-N,r,N
SPPep12_y80-N,y,N
SPPep12_r284-N,r,N
SPPep12_b40-N,b,N
SPPep12_p25-I,p,I
SPPep12_p42-N,p,N
SPPep12_p115-N,p,N
SPPep12_y6-I,y,I
SPPep12_p145-N,p,N
SPPep12_y48-I,y,I
SPPep12_b11-I,b,I
SPPep12_p33-I,p,I
SPPep12_b114-I,b,I
SPPep12_g5-I,g,I
SPPep12_b37-N,b,N
SPPep12_b35-I,b,I
SPPep12_p112-I,p,I
SPPep12_p51-I,p,I
SPPep12_p94-N,p,N
SPPep12_b111-N,b,N
SPPep12_b118-I,b,I
SPPep12_b5-N,b,N
SPPep12_g26-I,g,I
SPPep12_g3-N,g,N
SPPep12_r70-N,r,N
SPPep12_y66-N,y,N
SPPep12_b65-N,b,N
SPPep12_y35-I,y,I
SPPep12_g22-N,g,N
SPPep12_y87-N,y,N
SPPep12_y64-N,y,N
SPPep12_r23-I,r,I
SPPep12_y69-N,y,N
SPPep12_r253-N,r,N
SPPep12_p24-I,p,I
SPPep12_r134-I,r,I
SPPep12_g44-N,g,N
SPPep12_p12-N,p,N
SPPep12_p144-I,p,I
SPPep12_p2-N,p,N
SPPep12_y34-I,y,I
SPPep12_p93-N,p,N
SPPep12_p26-I,p,I
SPPep12_b61-I,b,I
SPPep12_p163-I,p,I
SPPep12_b68-I,b,I
SPPep12_r46B-I,r,I
SPPep12_g86-N,g,N
SPPep12_g65B-N,g,N
SPPep12_y26-I,y,I
