id,speaker,label
SBep23_d1288-N,d,N
SBep21_d1414-I,d,I
SBep28_d722-N,d,N
SBep6_d113-I,d,I
SBep21_d1183-N,d,N
SBep2_d464-I,d,I
SBep28_d391-N,d,N
SBep6_d284-I,d,I
SBep21_d1308-I,d,I
SBep6_d201-I,d,I
SBep23_d195-N,d,N
SBep2_d46-I,d,I
SBep2_d577-I,d,I
SBep6_d508-N,d,N
SBep28_d507-N,d,N
SBep21_d1573-N,d,N
SBep28_d336-N,d,N
SBep23_d522-N,d,N
SBep6_d205-I,d,I
SBep28_d77-I,d,I
SBep21_d1627-N,d,N
SBep23_d1038-N,d,N
SBep23_d973-N,d,N
SBep23_d96-I,d,I
SBep23_d436-N,d,N
SBep28_d713-I,d,I
SBep28_d703-N,d,N
SBep21_d145-I,d,I
SBep21_d384-I,d,I
SBep21_d1373-N,d,N
SBep6_d981-I,d,I
SBep6_d115-I,d,I
SBep6_d395-I,d,I
SBep21_d1028-N,d,N
SBep23_d962-N,d,N
SBep28_d85-I,d,I
SBep6_d46-N,d,N
SBep23_d1282-N,d,N
SBep23_d492-N,d,N
SBep2_d350-I,d,I
SBep21_d1824-N,d,N
SBep6_d247-I,d,I
SBep28_d150-I,d,I
SBep6_d824-I,d,I
SBep6_d893-N,d,N
SBep21_d807-I,d,I
SBep23_d1436-N,d,N
SBep23_d303-I,d,I
SBep6_d673-I,d,I
SBep2_d87-I,d,I
SBep6_d936-I,d,I
SBep21_d1093-N,d,N
SBep21_d212-N,d,N
SBep21_d512-N,d,N
SBep21_d469-I,d,I
SBep21_d1236-I,d,I
SBep6_d169-I,d,I
SBep21_d1321-N,d,N
SBep21_d87-I,d,I
SBep2_d543-N,d,N
SBep28_d191-N,d,N
SBep21_d1128-I,d,I
SBep2_d401-I,d,I
SBep23_d1534-N,d,N
SBep28_d612-N,d,N
SBep23_d310-I,d,I
SBep28_d628-I,d,I
SBep23_d790-I,d,I
SBep28_d4-N,d,N
SBep23_d1311-I,d,I
SBep21_d125-I,d,I
SBep21_d1887-I,d,I
SBep21_d1186-N,d,N
SBep2_d555-N,d,N
SBep23_d915-I,d,I
SBep6_d852-I,d,I
SBep21_d715-I,d,I
SBep23_d1121-N,d,N
SBep28_d30-I,d,I
SBep21_d1415-I,d,I
SBep6_d729-I,d,I
SBep21_d1314-I,d,I
SBep6_d140-I,d,I
SBep2_d305-N,d,N
SBep28_d582-N,d,N
SBep28_d524-N,d,N
SBep23_d611-I,d,I
SBep23_d1231-N,d,N
SBep21_d1903-N,d,N
SBep2_d96-N,d,N
SBep23_d412-I,d,I
SBep23_d265-N,d,N
SBep21_d1351-N,d,N
SBep23_d1293-I,d,I
SBep23_d904-I,d,I
SBep21_d927-I,d,I
SBep21_d853-N,d,N
SBep2_d369-I,d,I
SBep28_d67-I,d,I
SBep6_d660-I,d,I
SBep28_d393-I,d,I
SBep6_d382-I,d,I
SBep21_d1200-N,d,N
SBep6_d223-I,d,I
SBep21_d294-I,d,I
SBep21_d617-I,d,I
SBep21_d478-N,d,N
SBep23_d1177-I,d,I
SBep21_d1336-I,d,I
SBep2_d277-I,d,I
SBep21_d982-I,d,I
SBep21_d1110-I,d,I
SBep21_d1243-I,d,I
SBep6_d415-N,d,N
SBep23_d1520-N,d,N
SBep23_d942-N,d,N
SBep23_d640-I,d,I
SBep21_d1827-I,d,I
SBep23_d795-N,d,N
SBep28_d536-I,d,I
SBep28_d517-I,d,I
SBep21_d1168-I,d,I
SBep28_d319-N,d,N
SBep28_d631-I,d,I
SBep6_d606-N,d,N
SBep23_d1145-N,d,N
SBep2_d465-I,d,I
SBep21_d833-I,d,I
SBep21_d1910-I,d,I
SBep6_d651-N,d,N
SBep21_d1231-N,d,N
SBep23_d1140-N,d,N
SBep6_d882-I,d,I
SBep6_d99-N,d,N
SBep2_d592-I,d,I
SBep23_d341-I,d,I
SBep6_d192-I,d,I
SBep21_d1944-N,d,N
SBep28_d13-N,d,N
SBep23_d106-I,d,I
SBep28_d364-I,d,I
SBep6_d920-I,d,I
SBep21_d1178-N,d,N
SBep28_d493-N,d,N
SBep28_d677-I,d,I
SBep6_d919-N,d,N
SBep23_d1464-N,d,N
SBep6_d832-N,d,N
SBep6_d1027-I,d,I
SBep6_d38-I,d,I
SBep21_d829-I,d,I
SBep23_d1439-N,d,N
SBep2_d138-I,d,I
SBep21_d849-N,d,N
SBep6_d421-I,d,I
SBep21_d1175-I,d,I
SBep23_d618-I,d,I
SBep21_d80-N,d,N
SBep6_d842-I,d,I
SBep21_d351-N,d,N
SBep28_d35-I,d,I
SBep6_d362-I,d,I
SBep21_d934-I,d,I
SBep23_d1420-N,d,N
SBep2_d594-I,d,I
SBep23_d1040-I,d,I
SBep23_d1139-N,d,N
SBep21_d142-I,d,I
SBep6_d14-I,d,I
SBep21_d1249-N,d,N
SBep2_d364-N,d,N
SBep21_d46-I,d,I
SBep6_d620-N,d,N
SBep21_d1958-N,d,N
SBep21_d1019-N,d,N
SBep21_d1708-I,d,I
SBep21_d1630-N,d,N
SBep21_d1655-I,d,I
SBep28_d572-I,d,I
SBep23_d490-N,d,N
SBep28_d253-N,d,N
SBep28_d715-N,d,N
SBep2_d546-N,d,N
SBep2_d289-I,d,I
SBep23_d1298-I,d,I
SBep23_d886-N,d,N
SBep21_d863-I,d,I
SBep21_d1582-N,d,N
SBep28_d37-N,d,N
SBep21_d1939-I,d,I
SBep21_d901-I,d,I
SBep6_d518-I,d,I
SBep6_d755-I,d,I
SBep23_d586-N,d,N
SBep6_d303-I,d,I
SBep21_d1419-N,d,N
SBep6_d889-N,d,N
SBep2_d440-I,d,I
SBep21_d1410-I,d,I
SBep23_d742-N,d,N
SBep21_d1751-N,d,N
SBep23_d417-I,d,I
SBep23_d1154-N,d,N
SBep28_d106-I,d,I
SBep6_d988-N,d,N
SBep28_d54-I,d,I
SBep2_d532-I,d,I
SBep28_d196-I,d,I
SBep21_d1511-I,d,I
SBep28_d334-N,d,N
SBep6_d639-I,d,I
SBep21_d1430-I,d,I
SBep21_d415-I,d,I
SBep21_d1155-I,d,I
SBep23_d1388-I,d,I
SBep6_d432-I,d,I
SBep21_d1603-N,d,N
SBep6_d291-I,d,I
SBep23_d266-N,d,N
SBep28_d533-I,d,I
SBep6_d155-I,d,I
SBep6_d147-N,d,N
SBep23_d1131-N,d,N
SBep6_d607-N,d,N
SBep2_d425-I,d,I
SBep21_d697-I,d,I
SBep21_d1579-N,d,N
SBep21_d378-I,d,I
SBep2_d155-I,d,I
SBep6_d398-I,d,I
SBep6_d316-I,d,I
SBep6_d788-N,d,N
SBep23_d470-N,d,N
SBep23_d170-N,d,N
SBep2_d296-I,d,I
SBep23_d918-N,d,N
SBep28_d679-N,d,N
SBep6_d528-I,d,I
SBep21_d109-I,d,I
SBep2_d352-N,d,N
SBep23_d533-N,d,N
SBep28_d426-I,d,I
SBep28_d347-I,d,I
SBep21_d1233-I,d,I
SBep23_d1429-N,d,N
SBep2_d191-N,d,N
