id,speaker,label
SBep4_h723-N,h,N
SBep4_h703-N,h,N
SBep4_h290-N,h,N
SBep4_h27-I,h,I
SBep4_h755-N,h,N
SBep4_h928-N,h,N
SBep4_h753-N,h,N
SBep4_h391-N,h,N
SBep4_h1179-I,h,I
SBep4_h68-N,h,N
SBep4_h398-N,h,N
SBep4_h551-N,h,N
SBep4_h367-I,h,I
SBep4_h529-N,h,N
SBep4_h1150-N,h,N
SBep4_h389-N,h,N
SBep4_h931-N,h,N
SBep4_h1240-N,h,N
SBep4_h70-N,h,N
SBep4_h36-I,h,I
SBep4_h746-N,h,N
SBep4_h943-N,h,N
SBep4_h63-I,h,I
SBep4_h381-N,h,N
SBep4_h712-N,h,N
SBep4_h1256-N,h,N
SBep4_h71-N,h,N
SBep4_h107-N,h,N
SBep4_h457-N,h,N
SBep4_h757-N,h,N
SBep4_h129-N,h,N
SBep4_h404-N,h,N
SBep4_h722-N,h,N
SBep4_h300-N,h,N
SBep4_h1149-N,h,N
SBep4_h467-N,h,N
