id,speaker,label
SPPep12_g71-N,g,N
SPPep12_g28-I,g,I
SPPep12_g79-N,g,N
SPPep12_g41-N,g,N
SPPep12_g58-I,g,I
SPPep12_g44-N,g,N
SPPep12_g62-N,g,N
SPPep12_g94-I,g,I
SPPep12_g7-I,g,I
SPPep12_g85-N,g,N
SPPep12_g38-N,g,N
SPPep12_g78-N,g,N
SPPep12_g24-I,g,I
SPPep12_g72-N,g,N
SPPep12_g73-N,g,N
SPPep12_g4-N,g,N
SPPep12_g61-N,g,N
SPPep12_g30-I,g,I
SPPep12_g25-N,g,N
SPPep12_g33-N,g,N
SPPep12_g13-I,g,I
SPPep12_g9-N,g,N
SPPep12_g54-I,g,I
SPPep12_g1-N,g,N
SPPep12_g21-I,g,I
SPPep12_g43-N,g,N
SPPep12_g5-I,g,I
SPPep12_g97-N,g,N
SPPep12_g8-I,g,I
SPPep12_g83-I,g,I
SPPep12_g45-I,g,I
SPPep12_g31-N,g,N
SPPep12_g29-N,g,N
SPPep12_g91-I,g,I
SPPep12_g40-N,g,N
SPPep12_g49-N,g,N
SPPep12_g22-N,g,N
SPPep12_g77-N,g,N
SPPep12_g19-N,g,N
SPPep12_g59-N,g,N
SPPep12_g39-N,g,N
SPPep12_g34-N,g,N
SPPep12_g27-I,g,I
SPPep12_g18-I,g,I
SPPep12_g23-I,g,I
SPPep12_g6-I,g,I
SPPep12_g57-N,g,N
SPPep12_g70-N,g,N
SPPep12_g48-N,g,N
SPPep12_g65-N,g,N
SPPep12_g80-N,g,N
SPPep12_g67-N,g,N
SPPep12_g14-N,g,N
SPPep12_g3-N,g,N
SPPep12_g15-N,g,N
SPPep12_g60-N,g,N
SPPep12_g63-N,g,N
SPPep12_g88-N,g,N
SPPep12_g47-N,g,N
SPPep12_g42-N,g,N
SPPep12_g89-N,g,N
SPPep12_g90-N,g,N
SPPep12_g37-I,g,I
SPPep12_g46-N,g,N
SPPep12_g69-N,g,N
SPPep12_g81-N,g,N
SPPep12_g56-N,g,N
SPPep12_g55-N,g,N
SPPep12_g11-N,g,N
SPPep12_g36-N,g,N
SPPep12_g68-N,g,N
SPPep12_g92-N,g,N
SPPep12_g12-I,g,I
SPPep12_g82-I,g,I
SPPep12_g17-I,g,I
SPPep12_g51-N,g,N
SPPep12_g20-N,g,N
SPPep12_g76-N,g,N
SPPep12_g32-N,g,N
SPPep12_g75-N,g,N
SPPep12_g35-N,g,N
SPPep12_g98-N,g,N
SPPep12_g50-N,g,N
SPPep12_g10-N,g,N
SPPep12_g95-N,g,N
SPPep12_g16-N,g,N
SPPep12_g93-N,g,N
SPPep12_g84-I,g,I
SPPep12_g2-N,g,N
