id,speaker,label
SPPep12_r201-N,r,N
SPPep12_r274-N,r,N
SPPep12_r273-N,r,N
SPPep12_r180-N,r,N
SPPep12_r92-N,r,N
SPPep12_r114-N,r,N
SPPep12_r229-N,r,N
SPPep12_r176-N,r,N
SPPep12_r73-N,r,N
SPPep12_r18-N,r,N
SPPep12_r171-N,r,N
SPPep12_r147-N,r,N
SPPep12_r245-N,r,N
SPPep12_r30-N,r,N
SPPep12_r220-N,r,N
SPPep12_r89-I,r,I
SPPep12_r301-N,r,N
SPPep12_r81-N,r,N
SPPep12_r182-N,r,N
SPPep12_r88-N,r,N
SPPep12_r249-N,r,N
SPPep12_r107-N,r,N
SPPep12_r279-N,r,N
SPPep12_r280-N,r,N
SPPep12_r156-N,r,N
SPPep12_r244-N,r,N
SPPep12_r202-N,r,N
SPPep12_r138-N,r,N
SPPep12_r47-N,r,N
SPPep12_r26-I,r,I
SPPep12_r65-N,r,N
SPPep12_r83-I,r,I
SPPep12_r256-N,r,N
SPPep12_r105-N,r,N
SPPep12_r308-N,r,N
SPPep12_r159-N,r,N
SPPep12_r215-N,r,N
SPPep12_r115-N,r,N
SPPep12_r64-N,r,N
SPPep12_r214-N,r,N
SPPep12_r36-N,r,N
SPPep12_r266-I,r,I
SPPep12_r186-N,r,N
SPPep12_r173-N,r,N
SPPep12_r112-N,r,N
SPPep12_r194-N,r,N
SPPep12_r199-N,r,N
SPPep12_r285-N,r,N
SPPep12_r213-N,r,N
SPPep12_r298-N,r,N
SPPep12_r11-N,r,N
SPPep12_r102-N,r,N
SPPep12_r20-N,r,N
SPPep12_r124-N,r,N
SPPep12_r52-N,r,N
SPPep12_r200-N,r,N
SPPep12_r28-N,r,N
SPPep12_r23-I,r,I
SPPep12_r263-N,r,N
SPPep12_r76-N,r,N
SPPep12_r74-N,r,N
SPPep12_r309-N,r,N
SPPep12_r250-N,r,N
SPPep12_r53-N,r,N
SPPep12_r239-N,r,N
SPPep12_r15-N,r,N
SPPep12_r232-N,r,N
SPPep12_r260-N,r,N
SPPep12_r211-N,r,N
SPPep12_r261-N,r,N
SPPep12_r126-I,r,I
SPPep12_r286-N,r,N
SPPep12_r231-N,r,N
SPPep12_r179-N,r,N
SPPep12_r46A-N,r,N
SPPep12_r153-N,r,N
SPPep12_r39-N,r,N
SPPep12_r57-N,r,N
SPPep12_r271-N,r,N
SPPep12_r187-N,r,N
SPPep12_r203-N,r,N
SPPep12_r29-N,r,N
SPPep12_r306-N,r,N
SPPep12_r56-N,r,N
SPPep12_r192-N,r,N
SPPep12_r293-N,r,N
SPPep12_r235-N,r,N
SPPep12_r154-N,r,N
SPPep12_r42-N,r,N
SPPep12_r206-N,r,N
SPPep12_r104-I,r,I
SPPep12_r118-N,r,N
SPPep12_r230-N,r,N
SPPep12_r27-I,r,I
SPPep12_r60-N,r,N
SPPep12_r87-N,r,N
SPPep12_r242-N,r,N
SPPep12_r95-N,r,N
SPPep12_r145-N,r,N
SPPep12_r93-N,r,N
SPPep12_r91-N,r,N
SPPep12_r143-N,r,N
SPPep12_r228-N,r,N
SPPep12_r195-N,r,N
SPPep12_r210-N,r,N
SPPep12_r9-N,r,N
SPPep12_r155-N,r,N
SPPep12_r295-N,r,N
SPPep12_r158-N,r,N
SPPep12_r246-N,r,N
SPPep12_r252-N,r,N
SPPep12_r19-N,r,N
SPPep12_r132-N,r,N
SPPep12_r16-I,r,I
SPPep12_r13-I,r,I
SPPep12_r254-N,r,N
SPPep12_r149-N,r,N
SPPep12_r139-N,r,N
SPPep12_r141-N,r,N
SPPep12_r277-N,r,N
SPPep12_r129-N,r,N
SPPep12_r108-N,r,N
SPPep12_r282-N,r,N
SPPep12_r161-N,r,N
SPPep12_r101-N,r,N
SPPep12_r99-N,r,N
SPPep12_r72-N,r,N
SPPep12_r137-N,r,N
SPPep12_r22-N,r,N
SPPep12_r237-N,r,N
SPPep12_r79-N,r,N
SPPep12_r131-N,r,N
SPPep12_r294-N,r,N
SPPep12_r90-N,r,N
SPPep12_r268-N,r,N
