id,speaker,label
SBep21_s584-N,s,N
SBep21_d132-N,d,N
SBep13_c812-N,c,N
SBep6_c17-I,c,I
SBep21_c186-I,c,I
SBep13_c31-N,c,N
SBep15_o338-N,o,N
SBep6_c397-I,c,I
SBep23_d1388-I,d,I
SBep2_d526-I,d,I
SBep23_d1079-I,d,I
SBep2_d521-I,d,I
SBep21_c281-I,c,I
SBep21_d1827-I,d,I
SBep2_e141-I,e,I
SBep13_d452-I,d,I
SBep23_o1240-N,o,N
SBep27_c334-I,c,I
SBep6_d978-I,d,I
SBep21_d220-N,d,N
SBep27_c22-I,c,I
SBep15_o110-N,o,N
SBep23_d783-I,d,I
SBep21_s501-I,s,I
SBep27_c195-I,c,I
SBep6_j633-I,j,I
SBep23_d759-N,d,N
SBep28_c290-N,c,N
SBep23_d1147-N,d,N
SBep23_c1179-N,c,N
SBep28_c292-N,c,N
SBep15_d180-I,d,I
SBep2_d577-I,d,I
SBep21_s38-N,s,N
SBep13_c600-N,c,N
SBep21_c1795-N,c,N
SBep6_d1057-N,d,N
SBep21_s748-I,s,I
SBep28_c265-N,c,N
SBep23_d1318-I,d,I
SBep6_d104-N,d,N
SBep6_c49-N,c,N
SBep2_c272-I,c,I
SBep15_o137-I,o,I
SBep21_s1567-I,s,I
SBep27_t461-N,t,N
SBep28_c301-N,c,N
SBep21_c1405-N,c,N
SBep21_d703-I,d,I
SBep23_c86-N,c,N
SBep23_c422-N,c,N
SBep2_d317-N,d,N
SBep15_d379-N,d,N
SBep6_d624-N,d,N
SBep28_c481-N,c,N
SBep15_o641-I,o,I
SBep21_d1887-I,d,I
SBep21_s209-N,s,N
SBep27_c367-I,c,I
SBep21_d1305-I,d,I
SBep2_e418-I,e,I
SBep27_c155-I,c,I
SBep6_j396-I,j,I
SBep6_j392-I,j,I
SBep23_o126-I,o,I
SBep27_c362-I,c,I
SBep2_d529-I,d,I
SBep21_d372-I,d,I
SBep28_c716-N,c,N
SBep2_e522-I,e,I
SBep23_c1211-N,c,N
SBep28_c86-I,c,I
SBep2_c290-N,c,N
SBep21_c161-I,c,I
SBep13_c722-N,c,N
SBep21_d125-I,d,I
SBep23_c982-N,c,N
SBep21_c499-I,c,I
SBep6_c420-I,c,I
SBep15_c596-N,c,N
SBep6_j522-N,j,N
SBep13_c57-I,c,I
SBep21_d1634-I,d,I
SBep27_t289-I,t,I
SBep27_d315-N,d,N
SBep6_d360-I,d,I
SBep23_d640-I,d,I
SBep23_d468-N,d,N
SBep2_c78-I,c,I
SBep27_t219-I,t,I
SBep27_d253-N,d,N
SBep23_o384-I,o,I
SBep23_c1151-N,c,N
SBep2_c572-I,c,I
SBep23_o116-I,o,I
SBep13_c385-N,c,N
SBep21_s947-I,s,I
SBep23_o1178-I,o,I
SBep6_d395-I,d,I
SBep23_c1467-I,c,I
SBep21_c1473-I,c,I
SBep6_j296-N,j,N
SBep6_j627-N,j,N
SBep6_c572-N,c,N
SBep23_c361-N,c,N
SBep27_t278-N,t,N
SBep21_d279-I,d,I
SBep6_d406-I,d,I
SBep23_d1432-N,d,N
SBep21_c799-I,c,I
SBep21_d1466-I,d,I
SBep21_d1625-N,d,N
SBep13_d777-N,d,N
SBep15_c655-I,c,I
SBep6_d745-N,d,N
SBep23_c115-I,c,I
SBep28_c200-N,c,N
SBep2_c342-I,c,I
SBep15_c251-N,c,N
SBep27_c175-I,c,I
SBep21_d1598-I,d,I
SBep21_s1277-N,s,N
SBep21_d388-I,d,I
SBep2_c107-N,c,N
SBep21_s1924-I,s,I
SBep21_d982-I,d,I
SBep23_d493-N,d,N
SBep28_u185-N,u,N
SBep13_d402-N,d,N
SBep23_c306-I,c,I
SBep6_j662-I,j,I
SBep21_d1906-I,d,I
SBep27_t93-I,t,I
SBep23_c1351-I,c,I
SBep27_c348-I,c,I
SBep28_c674-I,c,I
SBep28_u273-N,u,N
SBep28_c121-I,c,I
SBep6_c425-I,c,I
SBep21_d1550-I,d,I
SBep27_d490-I,d,I
SBep21_c1937-I,c,I
SBep6_d488-I,d,I
SBep6_j313-I,j,I
SBep2_d323-N,d,N
SBep28_c297-N,c,N
SBep6_d445-I,d,I
SBep27_c3-N,c,N
SBep6_d734-I,d,I
SBep13_d648-N,d,N
SBep27_t332-I,t,I
SBep2_d182-I,d,I
SBep6_j180-I,j,I
SBep6_c697-I,c,I
SBep2_e441-I,e,I
SBep6_j1028-I,j,I
SBep6_c465-N,c,N
SBep27_d239-N,d,N
SBep15_d253-N,d,N
SBep15_d590-N,d,N
SBep23_o787-N,o,N
SBep21_c1897-I,c,I
SBep28_u332-N,u,N
SBep27_c106-N,c,N
SBep28_u371-N,u,N
SBep6_j370-I,j,I
SBep23_d1413-N,d,N
SBep6_c472-N,c,N
SBep21_d1020-N,d,N
SBep2_e108-N,e,N
SBep21_c1657-N,c,N
SBep15_o19-N,o,N
SBep15_d242-N,d,N
SBep21_c4-N,c,N
SBep15_d459-I,d,I
SBep21_c1453-I,c,I
SBep2_d62-I,d,I
SBep28_c405-N,c,N
SBep23_o720-N,o,N
SBep15_c37-N,c,N
SBep27_c199-I,c,I
SBep28_u129-N,u,N
SBep6_c881-I,c,I
SBep21_s939-N,s,N
SBep23_o97-I,o,I
SBep6_d939-I,d,I
SBep6_j719-I,j,I
SBep21_d492-N,d,N
SBep13_d343-N,d,N
SBep28_c227-N,c,N
SBep15_c319-N,c,N
SBep23_o143-I,o,I
SBep2_c531-I,c,I
SBep21_c1402-N,c,N
SBep13_d7-I,d,I
SBep2_d634-N,d,N
SBep6_d83-I,d,I
SBep23_o1092-I,o,I
SBep21_c1566-I,c,I
SBep2_e270-I,e,I
SBep6_c916-N,c,N
SBep23_d271-I,d,I
SBep13_c685-N,c,N
SBep27_d516-N,d,N
SBep28_c68-I,c,I
SBep23_c839-N,c,N
SBep6_j229-N,j,N
SBep6_j403-I,j,I
SBep21_s374-I,s,I
SBep21_d1110-I,d,I
SBep21_c1723-I,c,I
SBep27_t408-I,t,I
SBep6_d382-I,d,I
SBep28_c605-N,c,N
SBep28_d171-I,d,I
SBep6_c491-I,c,I
SBep2_e14-N,e,N
SBep21_s25-I,s,I
SBep6_j1002-I,j,I
SBep15_o175-I,o,I
SBep6_c431-I,c,I
SBep28_c217-N,c,N
SBep21_s606-N,s,N
SBep27_d252-I,d,I
SBep21_c1127-I,c,I
SBep13_c766-N,c,N
SBep15_d454-I,d,I
SBep23_d545-N,d,N
SBep23_o250-N,o,N
SBep6_d192-I,d,I
SBep21_c1352-N,c,N
SBep21_c1826-N,c,N
SBep27_d256-N,d,N
SBep21_s1561-I,s,I
SBep28_c125-I,c,I
SBep13_d5-N,d,N
SBep23_o1049-N,o,N
SBep2_d46-I,d,I
SBep21_s490-N,s,N
SBep6_d1036-I,d,I
SBep2_e126-N,e,N
SBep6_d693-I,d,I
SBep2_c410-I,c,I
SBep28_c256-N,c,N
SBep27_c451-N,c,N
SBep21_d1909-I,d,I
SBep6_j801-N,j,N
SBep13_d503-N,d,N
SBep21_s1711-N,s,N
SBep21_c921-I,c,I
SBep6_j67-N,j,N
SBep27_d272-N,d,N
SBep6_d385-I,d,I
SBep23_c1223-N,c,N
SBep27_t184-I,t,I
SBep23_o407-I,o,I
SBep28_c458-N,c,N
SBep23_c12-N,c,N
SBep2_d134-N,d,N
SBep6_j506-N,j,N
SBep21_c467-I,c,I
SBep27_c90-N,c,N
SBep13_d742-N,d,N
SBep6_d920-I,d,I
SBep23_o228-I,o,I
SBep23_c1503-N,c,N
SBep6_j158-I,j,I
SBep21_s529-N,s,N
SBep23_o325-N,o,N
SBep13_d714-N,d,N
SBep28_c411-N,c,N
SBep23_d300-N,d,N
SBep21_c974-I,c,I
SBep23_d1139-N,d,N
SBep21_c1067-I,c,I
SBep2_c58-N,c,N
SBep2_c211-N,c,N
SBep13_c317-I,c,I
SBep23_c122-I,c,I
SBep21_d1962-N,d,N
SBep6_d115-I,d,I
SBep6_d838-I,d,I
SBep15_c589-I,c,I
SBep13_d679-N,d,N
SBep6_c353-I,c,I
SBep21_s926-N,s,N
SBep23_o380-I,o,I
SBep6_c77-I,c,I
SBep27_c33-N,c,N
SBep6_c446-I,c,I
SBep21_s1864-I,s,I
SBep23_d1175-I,d,I
SBep15_d136-I,d,I
SBep27_d101-I,d,I
SBep2_e495-N,e,N
SBep6_d1039-I,d,I
SBep21_d1731-N,d,N
SBep28_d698-N,d,N
SBep28_c97-I,c,I
SBep23_c910-I,c,I
SBep6_c351-I,c,I
SBep6_d238-I,d,I
SBep2_d576-N,d,N
SBep13_c274-N,c,N
SBep6_j277-I,j,I
SBep28_c498-N,c,N
SBep21_c1559-I,c,I
SBep21_c411-I,c,I
SBep13_c466-N,c,N
SBep23_o884-N,o,N
SBep21_c1957-N,c,N
SBep23_o1482-N,o,N
SBep23_c1302-N,c,N
SBep21_d1253-N,d,N
SBep23_d1101-N,d,N
SBep2_d26-N,d,N
SBep27_d485-I,d,I
SBep21_c156-I,c,I
SBep21_c874-N,c,N
SBep6_j621-N,j,N
SBep15_d62-I,d,I
SBep23_c868-N,c,N
SBep21_d1236-I,d,I
SBep15_c396-N,c,N
SBep23_c487-N,c,N
SBep2_e220-N,e,N
SBep21_d1562-I,d,I
SBep6_c541-I,c,I
SBep13_d540-N,d,N
SBep15_o204-I,o,I
SBep21_c670-I,c,I
SBep6_d62-I,d,I
SBep28_u627-N,u,N
SBep28_d490-N,d,N
SBep15_o540-N,o,N
SBep13_d191-I,d,I
SBep23_o587-N,o,N
SBep6_j142-I,j,I
SBep23_c1406-N,c,N
SBep15_d574-N,d,N
SBep6_d401-I,d,I
SBep23_d1121-N,d,N
SBep2_d343-I,d,I
SBep15_o168-I,o,I
SBep21_c1304-I,c,I
SBep15_o145-I,o,I
SBep13_c151-N,c,N
SBep21_d191-N,d,N
SBep6_d127-I,d,I
SBep6_j792-N,j,N
SBep6_c215-N,c,N
SBep6_c562-N,c,N
SBep28_d412-N,d,N
SBep6_j637-I,j,I
SBep6_j384-I,j,I
SBep28_c205-N,c,N
SBep21_s410-I,s,I
SBep6_c295-I,c,I
SBep6_d152-I,d,I
SBep27_c503-I,c,I
SBep23_c224-I,c,I
SBep2_c218-I,c,I
SBep21_d1159-N,d,N
SBep2_e516-I,e,I
SBep13_d763-I,d,I
SBep2_e436-N,e,N
SBep23_o414-I,o,I
SBep15_o604-N,o,N
SBep23_o1502-N,o,N
SBep21_c1354-N,c,N
SBep2_d399-N,d,N
SBep15_o397-I,o,I
SBep15_d299-N,d,N
SBep2_d165-I,d,I
SBep23_d1114-N,d,N
SBep23_o229-I,o,I
SBep28_c686-I,c,I
SBep23_c53-I,c,I
SBep27_d163-N,d,N
SBep28_c95-I,c,I
SBep21_s392-I,s,I
SBep13_c609-N,c,N
SBep23_d947-N,d,N
SBep21_c1889-I,c,I
SBep27_c67-I,c,I
SBep13_c528-N,c,N
SBep2_d2-N,d,N
SBep21_d1088-N,d,N
SBep21_d1665-I,d,I
SBep27_d492-I,d,I
SBep6_c116-I,c,I
SBep21_d1936-I,d,I
SBep2_e92-N,e,N
SBep23_o1171-N,o,N
SBep13_d218-N,d,N
SBep6_c412-N,c,N
SBep13_c558-N,c,N
SBep6_d40-I,d,I
SBep6_d817-I,d,I
SBep13_c820-N,c,N
SBep27_t302-I,t,I
SBep23_o1165-N,o,N
SBep21_c1436-I,c,I
SBep23_c4-N,c,N
SBep21_c932-I,c,I
SBep23_d120-I,d,I
SBep21_d1365-N,d,N
SBep27_d284-N,d,N
SBep23_d585-N,d,N
SBep27_t482-I,t,I
SBep6_j240-I,j,I
SBep15_o550-N,o,N
SBep21_d1888-I,d,I
SBep27_t191-I,t,I
SBep27_d361-I,d,I
SBep2_d407-N,d,N
SBep28_u434-N,u,N
SBep2_d164-I,d,I
SBep15_c227-N,c,N
SBep21_c824-I,c,I
SBep28_c99-I,c,I
SBep27_c292-I,c,I
SBep21_d458-I,d,I
SBep15_c5-N,c,N
SBep2_c523-I,c,I
SBep21_c1536-N,c,N
SBep13_d363-N,d,N
SBep28_d713-I,d,I
SBep6_d440-I,d,I
SBep21_d563-I,d,I
SBep15_d365-N,d,N
SBep21_d1474-I,d,I
SBep6_c243-I,c,I
SBep23_c891-N,c,N
SBep23_o403-N,o,N
SBep21_d378-I,d,I
SBep21_d1161-N,d,N
SBep23_o208-N,o,N
SBep2_d318-I,d,I
SBep23_c1030-N,c,N
SBep2_c274-I,c,I
SBep21_d1956-N,d,N
SBep21_d1959-N,d,N
SBep2_c176-N,c,N
SBep21_s1788-N,s,N
SBep23_o1088-N,o,N
SBep27_d459-I,d,I
SBep2_e314-N,e,N
SBep21_d237-I,d,I
SBep6_c308-I,c,I
SBep6_j259-I,j,I
SBep6_j476-N,j,N
SBep2_c179-N,c,N
SBep23_c109-I,c,I
SBep23_c1217-N,c,N
SBep28_d389-N,d,N
SBep6_j60-I,j,I
SBep15_c108-I,c,I
SBep23_d233-I,d,I
SBep21_c1622-I,c,I
SBep6_d752-I,d,I
SBep23_d418-I,d,I
SBep27_d58-N,d,N
SBep21_c1182-N,c,N
SBep2_d380-N,d,N
SBep23_d406-I,d,I
SBep23_c76-N,c,N
SBep13_c547-N,c,N
SBep21_d891-I,d,I
SBep2_d592-I,d,I
SBep15_o9-I,o,I
SBep6_d356-I,d,I
SBep23_o92-N,o,N
SBep27_c528-N,c,N
SBep21_c416-I,c,I
SBep21_d1216-I,d,I
SBep27_c162-N,c,N
SBep28_u537-N,u,N
SBep2_d504-I,d,I
SBep23_c663-N,c,N
SBep23_c488-N,c,N
SBep15_o650-N,o,N
SBep6_j821-I,j,I
SBep21_c1238-N,c,N
SBep21_s1045-N,s,N
SBep2_e386-I,e,I
SBep23_o724-N,o,N
SBep6_d136-I,d,I
SBep13_c545-N,c,N
SBep28_c19-I,c,I
SBep13_d481-N,d,N
SBep6_d837-I,d,I
SBep21_d1196-N,d,N
SBep6_d421-I,d,I
SBep6_d1047-N,d,N
SBep15_d106-I,d,I
SBep6_j170-I,j,I
SBep6_d61-I,d,I
SBep21_d522-N,d,N
SBep28_d574-N,d,N
SBep23_c1228-N,c,N
SBep23_o890-N,o,N
SBep2_d149-I,d,I
SBep6_c587-N,c,N
SBep28_c7-N,c,N
SBep13_d293-N,d,N
SBep21_d569-I,d,I
SBep27_d111-I,d,I
SBep23_o1090-I,o,I
SBep23_c955-N,c,N
SBep15_d622-I,d,I
SBep23_d1384-I,d,I
SBep23_d1473-I,d,I
SBep21_s259-N,s,N
SBep13_c150-N,c,N
SBep2_d89-I,d,I
SBep23_c646-N,c,N
SBep28_c169-N,c,N
SBep28_c699-I,c,I
SBep28_c430-N,c,N
SBep15_c645-N,c,N
SBep23_o1315-N,o,N
SBep21_c1686-N,c,N
SBep6_d354-I,d,I
SBep28_d30-I,d,I
SBep6_j875-N,j,N
SBep23_d1518-N,d,N
SBep21_s666-I,s,I
SBep23_d67-I,d,I
SBep2_d389-I,d,I
SBep13_c603-N,c,N
SBep15_c244-N,c,N
SBep23_d498-I,d,I
SBep23_c629-N,c,N
SBep21_d390-I,d,I
SBep21_d386-I,d,I
SBep21_d958-N,d,N
SBep23_o535-N,o,N
SBep2_e10-N,e,N
SBep28_c575-N,c,N
SBep6_c42-I,c,I
SBep27_d176-I,d,I
SBep23_d1291-N,d,N
SBep6_j39-I,j,I
SBep23_d227-I,d,I
SBep23_c352-N,c,N
SBep21_d130-I,d,I
SBep2_d265-I,d,I
SBep6_j119-I,j,I
SBep23_c162-N,c,N
SBep21_c1961-N,c,N
SBep23_o665-N,o,N
SBep2_d309-I,d,I
SBep21_d710-N,d,N
SBep15_d515-N,d,N
SBep6_c200-I,c,I
SBep23_d1198-I,d,I
SBep6_c1030-I,c,I
SBep21_c1725-N,c,N
SBep2_e432-N,e,N
SBep13_d355-N,d,N
SBep15_c335-N,c,N
SBep2_c295-N,c,N
SBep21_c5-N,c,N
SBep23_o1234-N,o,N
SBep2_d321-N,d,N
SBep21_c1254-N,c,N
SBep21_d1306-N,d,N
SBep13_d324-I,d,I
SBep21_s1883-I,s,I
SBep23_c1460-N,c,N
SBep23_c91-I,c,I
SBep13_d2-N,d,N
SBep21_s1042-N,s,N
SBep27_d323-I,d,I
SBep13_c267-N,c,N
SBep23_c1461-N,c,N
SBep2_c553-N,c,N
SBep6_j692-N,j,N
SBep21_c1224-N,c,N
SBep21_s1636-I,s,I
SBep23_o671-N,o,N
SBep6_j553-I,j,I
SBep23_c695-I,c,I
SBep21_s538-N,s,N
SBep21_c598-I,c,I
SBep15_c617-I,c,I
