id,speaker,label
SBep21_d1037-I,d,I
SBep23_d793-I,d,I
SBep13_d406-N,d,N
SBep15_d52-I,d,I
SBep6_d430-I,d,I
SBep2_d151-I,d,I
SBep6_d253-N,d,N
SBep13_d783-N,d,N
SBep2_d191-N,d,N
SBep6_d752-I,d,I
SBep2_d2-N,d,N
SBep6_d197-I,d,I
SBep21_d762-I,d,I
SBep27_d87-I,d,I
SBep21_d1480-N,d,N
SBep13_d763-I,d,I
SBep21_d1432-I,d,I
SBep28_d454-I,d,I
SBep2_d50-N,d,N
SBep21_d1422-N,d,N
SBep2_d91-N,d,N
SBep21_d522-N,d,N
SBep28_d52-I,d,I
SBep6_d823-I,d,I
SBep2_d573-I,d,I
SBep27_d169-I,d,I
SBep27_d270-N,d,N
SBep15_d245-I,d,I
SBep2_d471-I,d,I
SBep2_d128-N,d,N
SBep28_d730-I,d,I
SBep21_d1681-I,d,I
SBep21_d388-I,d,I
SBep21_d1407-N,d,N
SBep13_d416-N,d,N
SBep15_d279-N,d,N
SBep13_d431-N,d,N
SBep27_d252-I,d,I
SBep2_d562-N,d,N
SBep2_d277-I,d,I
SBep6_d445-I,d,I
SBep21_d1135-I,d,I
SBep27_d490-I,d,I
SBep2_d546-N,d,N
SBep21_d1019-N,d,N
SBep21_d278-I,d,I
SBep21_d1684-I,d,I
SBep27_d449-I,d,I
SBep13_d455-I,d,I
SBep21_d279-I,d,I
SBep23_d303-I,d,I
SBep21_d159-I,d,I
SBep23_d96-I,d,I
SBep13_d141-N,d,N
SBep15_d313-N,d,N
SBep23_d508-N,d,N
SBep6_d852-I,d,I
SBep21_d272-I,d,I
SBep21_d1351-N,d,N
SBep6_d695-I,d,I
SBep6_d699-N,d,N
SBep6_d734-I,d,I
SBep27_d432-I,d,I
SBep13_d293-N,d,N
SBep21_d646-N,d,N
SBep6_d83-I,d,I
SBep23_d1108-N,d,N
SBep21_d98-I,d,I
SBep6_d838-I,d,I
SBep2_d130-N,d,N
SBep2_d185-I,d,I
SBep21_d710-N,d,N
SBep6_d291-I,d,I
SBep6_d123-I,d,I
SBep21_d1853-N,d,N
SBep6_d775-I,d,I
SBep28_d596-N,d,N
SBep6_d455-I,d,I
