id,speaker,label
SBep21_s734-I,s,I
SBep21_s396-N,s,N
SBep21_s385-I,s,I
SBep21_s1864-I,s,I
SBep21_s463-N,s,N
SBep21_s1942-N,s,N
SBep21_s155-I,s,I
SBep21_s937-N,s,N
SBep21_s1030-N,s,N
SBep21_s443-N,s,N
SBep21_s1431-I,s,I
SBep21_s1109-N,s,N
SBep21_s1691-N,s,N
SBep21_s356-N,s,N
SBep21_s1924-I,s,I
SBep21_s1554-N,s,N
SBep21_s1933-I,s,I
SBep21_s1036-N,s,N
SBep21_s1788-N,s,N
SBep21_s1297-N,s,N
SBep21_s606-N,s,N
SBep21_s259-N,s,N
SBep21_s926-N,s,N
SBep21_s483-N,s,N
SBep21_s879-N,s,N
SBep21_s66-N,s,N
SBep21_s17-N,s,N
SBep21_s788-N,s,N
SBep21_s1440-N,s,N
SBep21_s1722-N,s,N
SBep21_s403-I,s,I
SBep21_s1446-I,s,I
SBep21_s610-N,s,N
SBep21_s1464-N,s,N
SBep21_s1101-N,s,N
SBep21_s1098-N,s,N
SBep21_s201-I,s,I
SBep21_s1558-N,s,N
SBep21_s392-I,s,I
SBep21_s856-I,s,I
SBep21_s276-I,s,I
SBep21_s354-N,s,N
SBep21_s626-I,s,I
SBep21_s748-I,s,I
SBep21_s231-N,s,N
SBep21_s410-I,s,I
SBep21_s1773-N,s,N
SBep21_s1489-N,s,N
SBep21_s1555-N,s,N
SBep21_s584-N,s,N
SBep21_s77-N,s,N
SBep21_s1491-I,s,I
SBep21_s1616-N,s,N
SBep21_s1862-N,s,N
SBep21_s1845-N,s,N
SBep21_s1922-I,s,I
SBep21_s1891-N,s,N
SBep21_s529-N,s,N
SBep21_s1849-N,s,N
SBep21_s285-I,s,I
SBep21_s405-I,s,I
SBep21_s1693-I,s,I
SBep21_s324-I,s,I
SBep21_s1938-I,s,I
SBep21_s68-N,s,N
SBep21_s490-N,s,N
SBep21_s1647-I,s,I
SBep21_s538-N,s,N
SBep21_s586-N,s,N
SBep21_s1458-N,s,N
SBep21_s1068-I,s,I
SBep21_s1033-N,s,N
SBep21_s1034-N,s,N
SBep21_s353-N,s,N
SBep21_s209-N,s,N
SBep21_s1569-N,s,N
SBep21_s1167-N,s,N
SBep21_s914-I,s,I
SBep21_s1218-I,s,I
SBep21_s524-N,s,N
SBep21_s666-I,s,I
SBep21_s944-N,s,N
SBep21_s1512-I,s,I
SBep21_s1624-N,s,N
SBep21_s49-N,s,N
SBep21_s758-N,s,N
SBep21_s289-I,s,I
SBep21_s147-N,s,N
SBep21_s1040-N,s,N
SBep21_s1456-N,s,N
SBep21_s280-I,s,I
SBep21_s1567-I,s,I
SBep21_s326-I,s,I
SBep21_s96-N,s,N
SBep21_s370-I,s,I
SBep21_s1497-N,s,N
SBep21_s1847-I,s,I
SBep21_s1113-N,s,N
SBep21_s107-I,s,I
SBep21_s1465-N,s,N
SBep21_s406-I,s,I
SBep21_s1664-I,s,I
SBep21_s532-N,s,N
SBep21_s64-I,s,I
SBep21_s505-I,s,I
SBep21_s1707-I,s,I
SBep21_s609-N,s,N
SBep21_s1091-N,s,N
SBep21_s1763-N,s,N
SBep21_s501-I,s,I
SBep21_s571-I,s,I
SBep21_s1325-I,s,I
SBep21_s374-I,s,I
SBep21_s10-N,s,N
SBep21_s1755-N,s,N
SBep21_s1035-N,s,N
SBep21_s346-N,s,N
SBep21_s31-N,s,N
SBep21_s1786-N,s,N
SBep21_s260-N,s,N
SBep21_s1082-N,s,N
SBep21_s1688-N,s,N
SBep21_s1045-N,s,N
SBep21_s25-I,s,I
SBep21_s1293-N,s,N
SBep21_s1277-N,s,N
SBep21_s1784-N,s,N
SBep21_s1607-N,s,N
SBep21_s515-N,s,N
SBep21_s273-I,s,I
SBep21_s1423-N,s,N
SBep21_s1674-I,s,I
SBep21_s71-N,s,N
SBep21_s928-I,s,I
SBep21_s1112-N,s,N
SBep21_s508-N,s,N
SBep21_s421-I,s,I
SBep21_s1883-I,s,I
SBep21_s1510-I,s,I
SBep21_s559-I,s,I
SBep21_s1273-N,s,N
SBep21_s1472-I,s,I
SBep21_s1468-I,s,I
SBep21_s553-I,s,I
SBep21_s1926-I,s,I
SBep21_s1411-I,s,I
SBep21_s880-N,s,N
SBep21_s413-I,s,I
SBep21_s38-N,s,N
SBep21_s1444-I,s,I
SBep21_s269-I,s,I
SBep21_s1267-N,s,N
SBep21_s737-I,s,I
SBep21_s774-N,s,N
SBep21_s1290-N,s,N
SBep21_s1234-I,s,I
SBep21_s1042-N,s,N
SBep21_s925-N,s,N
SBep21_s20-N,s,N
SBep21_s947-I,s,I
SBep21_s331-I,s,I
SBep21_s1633-I,s,I
SBep21_s702-I,s,I
SBep21_s116-N,s,N
SBep21_s1429-I,s,I
