id,speaker,label
SPPep12_r127-I,r,I
SPPep12_r150-N,r,N
SPPep12_r46B-I,r,I
SPPep12_r199-N,r,N
SPPep12_r231-N,r,N
SPPep12_r133-N,r,N
SPPep12_r17-I,r,I
SPPep12_r300-I,r,I
SPPep12_r96-N,r,N
SPPep12_r135-I,r,I
SPPep12_r109-N,r,N
SPPep12_r266-I,r,I
SPPep12_r134-I,r,I
SPPep12_r70-N,r,N
SPPep12_r23-I,r,I
SPPep12_r283-I,r,I
SPPep12_r7-N,r,N
SPPep12_r284-N,r,N
SPPep12_r83-I,r,I
SPPep12_r11-N,r,N
SPPep12_r122-I,r,I
SPPep12_r47-N,r,N
SPPep12_r60-N,r,N
SPPep12_r84-I,r,I
SPPep12_r282-N,r,N
SPPep12_r278-N,r,N
SPPep12_r104-I,r,I
