id,speaker,label
SPPep12_b80-N,b,N
SPPep12_b34-I,b,I
SPPep12_b123-I,b,I
SPPep12_b114-I,b,I
SPPep12_b21-I,b,I
SPPep12_b41-N,b,N
SPPep12_b43-N,b,N
SPPep12_b37-N,b,N
SPPep12_b58-I,b,I
SPPep12_b1-N,b,N
SPPep12_b72-N,b,N
SPPep12_b97-N,b,N
SPPep12_b99-N,b,N
SPPep12_b8-I,b,I
SPPep12_b15-I,b,I
SPPep12_b130-N,b,N
SPPep12_b111-N,b,N
SPPep12_b113-N,b,N
SPPep12_b100-N,b,N
SPPep12_b48-I,b,I
SPPep12_b125-N,b,N
SPPep12_b63-N,b,N
SPPep12_b33-I,b,I
SPPep12_b129-N,b,N
SPPep12_b17-N,b,N
SPPep12_b49-N,b,N
SPPep12_b109-I,b,I
SPPep12_b67-N,b,N
SPPep12_b57-N,b,N
SPPep12_b107-N,b,N
SPPep12_b53-N,b,N
SPPep12_b40-N,b,N
SPPep12_b96-N,b,N
SPPep12_b86-N,b,N
SPPep12_b61-I,b,I
SPPep12_b29-N,b,N
SPPep12_b90-I,b,I
SPPep12_b32-N,b,N
SPPep12_b28-N,b,N
SPPep12_b102-N,b,N
SPPep12_b3-N,b,N
SPPep12_b93-N,b,N
SPPep12_b10-I,b,I
SPPep12_b19-N,b,N
SPPep12_b81-N,b,N
SPPep12_b73-I,b,I
SPPep12_b12-N,b,N
SPPep12_b22-N,b,N
SPPep12_b101-N,b,N
SPPep12_b88-I,b,I
SPPep12_b87-N,b,N
SPPep12_b11-I,b,I
SPPep12_b2-N,b,N
SPPep12_b36-N,b,N
SPPep12_b76-N,b,N
SPPep12_b120-N,b,N
SPPep12_b106-N,b,N
SPPep12_b14-I,b,I
SPPep12_b119-N,b,N
SPPep12_b38-N,b,N
SPPep12_b104-N,b,N
SPPep12_b27-I,b,I
SPPep12_b71-N,b,N
SPPep12_b55-I,b,I
SPPep12_b4-N,b,N
SPPep12_b65-N,b,N
SPPep12_b124-N,b,N
SPPep12_b128-N,b,N
SPPep12_b85-N,b,N
SPPep12_b60-N,b,N
SPPep12_b20-N,b,N
SPPep12_b91-N,b,N
SPPep12_b42-N,b,N
SPPep12_b35-I,b,I
SPPep12_b83-N,b,N
SPPep12_b26-N,b,N
SPPep12_b118-I,b,I
SPPep12_b50-N,b,N
SPPep12_b59-N,b,N
SPPep12_b132-I,b,I
SPPep12_b9-I,b,I
SPPep12_b82-I,b,I
SPPep12_b112-N,b,N
SPPep12_b6-N,b,N
SPPep12_b115-I,b,I
SPPep12_b103-N,b,N
SPPep12_b69-N,b,N
SPPep12_b75-N,b,N
SPPep12_b66-N,b,N
SPPep12_b13-N,b,N
SPPep12_b23-N,b,N
SPPep12_b16-N,b,N
SPPep12_b70-N,b,N
SPPep12_b105-N,b,N
SPPep12_b131-N,b,N
SPPep12_b108-I,b,I
SPPep12_b84-N,b,N
SPPep12_b44-N,b,N
SPPep12_b127-N,b,N
SPPep12_b89-N,b,N
SPPep12_b39-N,b,N
SPPep12_b5-N,b,N
SPPep12_b117-I,b,I
SPPep12_b122-N,b,N
SPPep12_b121-N,b,N
SPPep12_b110-N,b,N
SPPep12_b7-N,b,N
SPPep12_b52-N,b,N
SPPep12_b78-N,b,N
SPPep12_b79-N,b,N
SPPep12_b116-N,b,N
SPPep12_b51-N,b,N
SPPep12_b47-I,b,I
SPPep12_b86B-I,b,I
SPPep12_b92-N,b,N
SPPep12_b126-N,b,N
SPPep12_b45-N,b,N
SPPep12_b25-N,b,N
