id,speaker,label
SBep23_o394-N,o,N
SBep23_o1041-N,o,N
SBep23_o1268-N,o,N
SBep23_o430-N,o,N
SBep23_o244-N,o,N
SBep23_o613-I,o,I
SBep23_o1323-N,o,N
SBep23_o1472-N,o,N
SBep23_o976-N,o,N
SBep23_o854-N,o,N
SBep23_o1237-N,o,N
SBep23_o189-N,o,N
SBep23_o70-N,o,N
SBep23_o121-I,o,I
SBep23_o1112-N,o,N
SBep23_o97-I,o,I
SBep23_o1102-N,o,N
SBep23_o1475-I,o,I
SBep23_o391-N,o,N
SBep23_o1245-N,o,N
SBep23_o635-N,o,N
SBep23_o619-I,o,I
SBep23_o1321-I,o,I
SBep23_o898-N,o,N
SBep23_o390-N,o,N
SBep23_o1344-N,o,N
SBep23_o669-N,o,N
SBep23_o934-N,o,N
SBep23_o943-N,o,N
SBep23_o356-N,o,N
SBep23_o1160-N,o,N
SBep23_o407-I,o,I
SBep23_o99-N,o,N
SBep23_o1247-N,o,N
SBep23_o1502-N,o,N
SBep23_o208-N,o,N
SBep23_o119-I,o,I
SBep23_o724-N,o,N
SBep23_o380-I,o,I
SBep23_o500-N,o,N
SBep23_o319-I,o,I
SBep23_o237-N,o,N
SBep23_o1505-N,o,N
SBep23_o495-N,o,N
SBep23_o651-N,o,N
SBep23_o679-N,o,N
SBep23_o1105-N,o,N
SBep23_o250-N,o,N
SBep23_o731-N,o,N
SBep23_o1389-N,o,N
SBep23_o638-N,o,N
SBep23_o974-N,o,N
SBep23_o877-I,o,I
SBep23_o6-N,o,N
SBep23_o506-N,o,N
SBep23_o431-N,o,N
SBep23_o1342-N,o,N
SBep23_o345-I,o,I
SBep23_o1085-N,o,N
SBep23_o367-N,o,N
SBep23_o1377-N,o,N
SBep23_o1269-N,o,N
SBep23_o329-N,o,N
SBep23_o443-N,o,N
SBep23_o1267-N,o,N
SBep23_o1395-I,o,I
SBep23_o621-I,o,I
SBep23_o399-N,o,N
SBep23_o1491-N,o,N
SBep23_o849-N,o,N
SBep23_o703-I,o,I
SBep23_o231-I,o,I
SBep23_o179-N,o,N
SBep23_o1119-N,o,N
SBep23_o243-N,o,N
SBep23_o54-N,o,N
SBep23_o1084-N,o,N
SBep23_o1096-N,o,N
SBep23_o1449-N,o,N
SBep23_o272-N,o,N
SBep23_o1363-N,o,N
SBep23_o471-N,o,N
SBep23_o1178-I,o,I
SBep23_o1230-N,o,N
SBep23_o673-N,o,N
SBep23_o328-N,o,N
SBep23_o1373-N,o,N
SBep23_o425-N,o,N
SBep23_o321-N,o,N
SBep23_o1470-N,o,N
SBep23_o1417-N,o,N
SBep23_o1122-N,o,N
SBep23_o701-I,o,I
SBep23_o323-N,o,N
SBep23_o1365-N,o,N
SBep23_o833-N,o,N
SBep23_o201-N,o,N
SBep23_o1257-N,o,N
SBep23_o501-N,o,N
SBep23_o273-N,o,N
SBep23_o229-I,o,I
SBep23_o414-I,o,I
SBep23_o252-N,o,N
SBep23_o228-I,o,I
SBep23_o234-N,o,N
SBep23_o143-I,o,I
SBep23_o153-N,o,N
SBep23_o1083-N,o,N
SBep23_o1171-N,o,N
SBep23_o1444-N,o,N
SBep23_o954-N,o,N
SBep23_o123-I,o,I
SBep23_o1066-N,o,N
SBep23_o331-N,o,N
SBep23_o548-N,o,N
SBep23_o317-I,o,I
SBep23_o1462-N,o,N
SBep23_o1356-I,o,I
SBep23_o643-I,o,I
SBep23_o756-N,o,N
SBep23_o796-I,o,I
SBep23_o630-N,o,N
SBep23_o1240-N,o,N
SBep23_o359-N,o,N
SBep23_o665-N,o,N
SBep23_o65-I,o,I
SBep23_o330-N,o,N
SBep23_o50-N,o,N
SBep23_o355-I,o,I
SBep23_o1499-I,o,I
SBep23_o42-I,o,I
SBep23_o37-I,o,I
SBep23_o333-N,o,N
SBep23_o167-N,o,N
SBep23_o1484-N,o,N
SBep23_o238-N,o,N
SBep23_o496-N,o,N
SBep23_o554-N,o,N
SBep23_o1163-N,o,N
SBep23_o334-N,o,N
SBep23_o671-N,o,N
SBep23_o1249-N,o,N
SBep23_o1072-N,o,N
SBep23_o1063-I,o,I
SBep23_o787-N,o,N
SBep23_o316-I,o,I
SBep23_o429-N,o,N
SBep23_o936-N,o,N
SBep23_o1264-N,o,N
SBep23_o409-I,o,I
SBep23_o1238-N,o,N
SBep23_o455-I,o,I
SBep23_o1407-N,o,N
SBep23_o44-I,o,I
SBep23_o1092-I,o,I
SBep23_o1062-I,o,I
SBep23_o1090-I,o,I
SBep23_o1241-N,o,N
SBep23_o343-I,o,I
SBep23_o1506-N,o,N
SBep23_o384-I,o,I
SBep23_o397-N,o,N
SBep23_o382-I,o,I
SBep23_o126-I,o,I
SBep23_o1438-N,o,N
SBep23_o111-I,o,I
SBep23_o1359-N,o,N
SBep23_o427-N,o,N
SBep23_o325-N,o,N
SBep23_o1020-N,o,N
SBep23_o894-N,o,N
SBep23_o187-N,o,N
SBep23_o25-I,o,I
SBep23_o116-I,o,I
SBep23_o253-N,o,N
SBep23_o311-I,o,I
SBep23_o1236-N,o,N
SBep23_o312-I,o,I
