id,speaker,label
SBep2_e51-N,e,N
SBep2_e507-I,e,I
SBep2_e17-I,e,I
SBep2_e459-N,e,N
SBep2_e235-I,e,I
SBep2_e456-N,e,N
SBep2_e175-N,e,N
SBep2_e371-N,e,N
SBep2_e429-N,e,N
SBep2_e226-N,e,N
SBep2_e15-N,e,N
SBep2_e177-N,e,N
SBep2_e457-N,e,N
SBep2_e430-N,e,N
SBep2_e536-N,e,N
SBep2_e570-I,e,I
SBep2_e503-I,e,I
SBep2_e248-N,e,N
SBep2_e110-I,e,I
SBep2_e251-N,e,N
SBep2_e142-N,e,N
SBep2_e443-N,e,N
SBep2_e514-N,e,N
SBep2_e163-N,e,N
SBep2_e171-N,e,N
SBep2_e368-I,e,I
SBep2_e101-N,e,N
SBep2_e157-N,e,N
SBep2_e140-I,e,I
SBep2_e21-N,e,N
SBep2_e515-N,e,N
SBep2_e208-N,e,N
SBep2_e6-N,e,N
SBep2_e61-I,e,I
SBep2_e135-I,e,I
SBep2_e341-N,e,N
SBep2_e530-N,e,N
SBep2_e607-N,e,N
SBep2_e324-N,e,N
SBep2_e516-I,e,I
SBep2_e314-N,e,N
SBep2_e418-I,e,I
SBep2_e270-I,e,I
SBep2_e161-N,e,N
SBep2_e604-N,e,N
SBep2_e434-N,e,N
SBep2_e279-N,e,N
SBep2_e63-I,e,I
SBep2_e37-N,e,N
SBep2_e552-N,e,N
SBep2_e581-N,e,N
SBep2_e609-N,e,N
SBep2_e132-I,e,I
SBep2_e501-N,e,N
SBep2_e126-N,e,N
SBep2_e66-I,e,I
SBep2_e84-N,e,N
SBep2_e233-I,e,I
SBep2_e131-N,e,N
SBep2_e441-I,e,I
SBep2_e427-N,e,N
SBep2_e579-N,e,N
SBep2_e525-I,e,I
SBep2_e121-N,e,N
SBep2_e461-N,e,N
SBep2_e406-N,e,N
SBep2_e27-N,e,N
SBep2_e505-N,e,N
SBep2_e522-I,e,I
SBep2_e339-I,e,I
SBep2_e141-I,e,I
SBep2_e173-N,e,N
SBep2_e14-N,e,N
SBep2_e103-I,e,I
SBep2_e509-N,e,N
