filename,speaker,label,transcription
SPPep12_b10-I.wav,b,I,yes
SPPep12_b103-N.wav,b,N,hit by a train on the way
SPPep12_b107-N.wav,b,N,is it better
SPPep12_b108-I.wav,b,I,where's exclusively public transit
SPPep12_b11-I.wav,b,I,yes
SPPep12_b111-N.wav,b,N,no it's sticky
SPPep12_b114-I.wav,b,I,for two hundred
SPPep12_b115-I.wav,b,I,yes
SPPep12_b117-I.wav,b,I,what
SPPep12_b118-I.wav,b,I,i don't swinger party app driving
SPPep12_b127-N.wav,b,N,stop with the high
SPPep12_b13-N.wav,b,N,zach
SPPep12_b27-I.wav,b,I,which is significant
SPPep12_b29-N.wav,b,N,yes
SPPep12_b33-I.wav,b,I,one hundred percent related
SPPep12_b35-I.wav,b,I,create a local store
SPPep12_b36-N.wav,b,N,i think this is matt terry therapy
SPPep12_b37-N.wav,b,N,open your crayons
SPPep12_b39-N.wav,b,N,is available
SPPep12_b40-N.wav,b,N,we don't have a problem
SPPep12_b49-N.wav,b,N,
SPPep12_b5-N.wav,b,N,i don't think it was composed this time as well
SPPep12_b50-N.wav,b,N,melodies for us
SPPep12_b52-N.wav,b,N,not not a movie for me
SPPep12_b61-I.wav,b,I,what is the most beautiful run
SPPep12_b65-N.wav,b,N,how we going home yesterday morning
SPPep12_b68-I.wav,b,I,generally where they open
SPPep12_b73-I.wav,b,I,yes
SPPep12_b88-I.wav,b,I,no rain single
SPPep12_b90-I.wav,b,I,how long will donaldson
SPPep12_g10-N.wav,g,N,also wakes up early exercise
SPPep12_g13-I.wav,g,I,end the bathroom i think they don't care about that
SPPep12_g17-I.wav,g,I,yes and someone made a bad poster
SPPep12_g18-I.wav,g,I,rockers
SPPep12_g21-I.wav,g,I,this is different
SPPep12_g22-N.wav,g,N,whatever works for him
SPPep12_g24-I.wav,g,I,start out tom thomson san
SPPep12_g26-I.wav,g,I,which one raise awareness about stokes
SPPep12_g27-I.wav,g,I,doesn't matter if it's just just general
SPPep12_g28-I.wav,g,I,call your stoned representative
SPPep12_g29-N.wav,g,N,not to attend
SPPep12_g3-N.wav,g,N,yeah
SPPep12_g43-N.wav,g,N,will you can take the athlete feat
SPPep12_g44-N.wav,g,N,that would give you plus one to dicks
SPPep12_g49-N.wav,g,N,i heard mention of a music
SPPep12_g5-I.wav,g,I,what's the cost chicken
SPPep12_g50-N.wav,g,N,i would like to go to an amusement park
SPPep12_g56-N.wav,g,N,ok
SPPep12_g58-I.wav,g,I,go down to the water like seattle
SPPep12_g64-I.wav,g,I,should be this weekend
SPPep12_g65-N.wav,g,N,is it going to be any new volver funeral
SPPep12_g65B-N.wav,g,N,go but like wow
SPPep12_g68-N.wav,g,N,no i said no more thoughts about that
SPPep12_g82-I.wav,g,I,
SPPep12_g83-I.wav,g,I,meticulously
SPPep12_g86-N.wav,g,N,chicken love him
SPPep12_g90-N.wav,g,N,yeah that's super scary
SPPep12_g94-I.wav,g,I,
SPPep12_g95-N.wav,g,N,i realize i just said that my character void
SPPep12_g96-I.wav,g,I,talk instead person you know
SPPep12_p105-I.wav,p,I,i'm sorry
SPPep12_p111-N.wav,p,N,
SPPep12_p112-I.wav,p,I,when was a founding member of one direction
SPPep12_p114-N.wav,p,N,
SPPep12_p115-N.wav,p,N,pause
SPPep12_p12-N.wav,p,N,
SPPep12_p144-I.wav,p,I,correct
SPPep12_p145-N.wav,p,N,yes parties work
SPPep12_p147-I.wav,p,I,yes
SPPep12_p163-I.wav,p,I,yes
SPPep12_p2-N.wav,p,N,no
SPPep12_p24-I.wav,p,I,remind me if sentinels services
SPPep12_p25-I.wav,p,I,
SPPep12_p26-I.wav,p,I,
SPPep12_p33-I.wav,p,I,hey portal videos putting the gold chicken
SPPep12_p34-I.wav,p,I,working out
SPPep12_p37-N.wav,p,N,yes voice just remind me of bears
SPPep12_p42-N.wav,p,N,what would be because i've been working out
SPPep12_p46-I.wav,p,I,yes
SPPep12_p51-I.wav,p,I,
SPPep12_p6-N.wav,p,N,no
SPPep12_p60-I.wav,p,I,
SPPep12_p75-N.wav,p,N,
SPPep12_p8-I.wav,p,I,play the facts of life
SPPep12_p81-N.wav,p,N,not too exacerbate please
SPPep12_p88-N.wav,p,N,
SPPep12_p91-N.wav,p,N,world dressing ceremony
SPPep12_p93-N.wav,p,N,how many ounces in a degree
SPPep12_p94-N.wav,p,N,i actually do packy
SPPep12_p95-I.wav,p,I,which app
SPPep12_r104-I.wav,r,I,play anthony hamilton in the same room
SPPep12_r109-N.wav,r,N,can you know what i'm gonna
SPPep12_r11-N.wav,r,N,yeah i guess so
SPPep12_r122-I.wav,r,I,literally just want to tag rence and gordon attend office
SPPep12_r127-I.wav,r,I,mela table flipper
SPPep12_r13-I.wav,r,I,it's a long enough that you ask
SPPep12_r133-N.wav,r,N,you got two skill points who play whatever you want
SPPep12_r134-I.wav,r,I,is it get athlete's feet
SPPep12_r135-I.wav,r,I,do you want to a lake with a lot of ghost poop in it
SPPep12_r150-N.wav,r,N,no
SPPep12_r17-I.wav,r,I,ok so end please thomas the tank and yes
SPPep12_r199-N.wav,r,N,do i have a lot of fun
SPPep12_r23-I.wav,r,I,corporeal living chickens are in the chicken coop outback
SPPep12_r231-N.wav,r,N,i dismiss i only care about the kid
SPPep12_r253-N.wav,r,N,what is the morning of tell me what you do
SPPep12_r266-I.wav,r,I,i think it was thanks for the memories frad
SPPep12_r278-N.wav,r,N,where's the option of caloncho raincoat
SPPep12_r282-N.wav,r,N,more than two keys
SPPep12_r283-I.wav,r,I,go track
SPPep12_r284-N.wav,r,N,what is the gastrointestinal
SPPep12_r300-I.wav,r,I,what's trending again
SPPep12_r46B-I.wav,r,I,your work work
SPPep12_r47-N.wav,r,N,i need help
SPPep12_r60-N.wav,r,N,can you take a break
SPPep12_r7-N.wav,r,N,is it gonna be a consistant thing
SPPep12_r70-N.wav,r,N,is there a ghost chicken
SPPep12_r80-I.wav,r,I,anything right now
SPPep12_r83-I.wav,r,I,please visit your local store center to learn more about stones
SPPep12_r84-I.wav,r,I,
SPPep12_r96-N.wav,r,N,you make what looks like a bluetooth earpiece
SPPep12_y10-I.wav,y,I,that's classifies
SPPep12_y17-I.wav,y,I,disco chicken
SPPep12_y20-N.wav,y,N,
SPPep12_y21-N.wav,y,N,yes
SPPep12_y23-I.wav,y,I,i hear the ocean
SPPep12_y26-I.wav,y,I,
SPPep12_y28-I.wav,y,I,yes
SPPep12_y29-I.wav,y,I,play preferences were midnight all week
SPPep12_y3-I.wav,y,I,i want to hear again
SPPep12_y31-N.wav,y,N,
SPPep12_y34-I.wav,y,I,no bar
SPPep12_y35-I.wav,y,I,get crunk
SPPep12_y4-N.wav,y,N,
SPPep12_y48-I.wav,y,I,never they are again
SPPep12_y50-N.wav,y,N,i don't want to do that
SPPep12_y59-N.wav,y,N,looks like
SPPep12_y6-I.wav,y,I,yes pigs
SPPep12_y60-I.wav,y,I,crank a time of wonder
SPPep12_y62-N.wav,y,N,for the sermons
SPPep12_y64-N.wav,y,N,repeat good
SPPep12_y65-N.wav,y,N,play good morning for this trippin'
SPPep12_y66-N.wav,y,N,put this is my chicken
