,filename,duration,label
0,SBep4_c781-N,5.91843537414966,N
1,SBep14_d135-N,2.834013605442177,N
2,SBep4_d390-N,4.3434920634920635,N
3,SBep23_c307-I,3.40437641723356,I
4,SBep21_s1780-N,4.468299319727891,N
5,SBep28_d145-N,9.539083333333334,N
6,SBep27_c342-N,15.827375,N
7,SBep3_d1258-I,2.4428344671201816,I
8,SBep3_c234-N,0.41698412698412696,N
9,SBep15_c82-N,12.867460317460317,N
10,SBep4_d995-N,4.5213378684807255,N
11,SBep4_c978-N,5.215442176870749,N
12,SBep19_d392-I,3.6157596371882086,I
13,SBep28_c530-N,2.7877708333333335,N
14,SBep3_c693-N,3.2580045351473923,N
15,SBep28_c92-N,1.8375625,N
16,SBep13_c737-N,1.1186848072562359,N
17,SBep2_e368-I,0.7643310657596372,I
18,SBep23_c695-I,3.82469387755102,I
19,SBep3_c664-N,0.9483900226757369,N
20,SBep6_j772-N,1.0310204081632652,N
21,SBep4_c990-N,2.316326530612245,N
22,SBep4_h630-N,0.9375963718820862,N
23,SBep6_j297-N,3.0919727891156463,N
24,SBep16_c123-N,1.2009750566893425,N
25,SBep4_d750-I,1.2391156462585033,I
26,SBep13_c114-N,6.297687074829932,N
27,SBep3_c453-I,6.767755102040816,I
28,SBep6_c909-N,1.9124489795918367,N
29,SBep15_d505-N,7.154399092970522,N
30,SBep21_d1037-I,0.9294331065759637,I
31,SBep19_c471-N,6.118866213151928,N
32,SBep23_d793-I,1.841859410430839,I
33,SBep21_c188-I,0.8875283446712018,I
34,SBep2_e341-N,1.6823582766439908,N
35,SBep13_c409-N,0.9429024943310658,N
36,SBep21_c724-N,1.2185034013605442,N
37,SBep3_c1219-N,1.2427437641723356,N
38,SBep4_c173-I,2.485963718820862,I
39,SBep13_d406-N,1.0307936507936508,N
40,SBep21_c1453-I,2.186281179138322,I
41,SBep15_d52-I,4.927596371882086,I
42,SBep3_d679-N,1.136530612244898,N
43,SBep6_d430-I,1.5235827664399093,I
44,SBep2_d151-I,1.1861451247165533,I
45,SBep2_c123-N,12.698662131519274,N
46,SBep23_o1232-N,1.5316780045351475,N
47,SBep4_d576-N,0.7520181405895692,N
48,SBep3_d988-I,3.1214285714285714,I
49,SBep21_s505-I,2.233469387755102,I
50,SBep3_f113-I,0.9628344671201814,I
51,SBep27_c155-I,2.212645833333333,I
52,SBep14_c311-I,1.7780952380952382,I
53,SBep23_c1033-N,1.9224716553287982,N
54,SBep16_c303-I,1.1271655328798187,I
55,SBep6_d253-N,1.4587755102040816,N
56,SBep4_c854-N,6.822789115646258,N
57,SBep2_c475-N,1.0620861678004536,N
58,SBep23_c1125-N,3.2443537414965986,N
59,SBep16_d463-N,1.6438321995464853,N
60,SBep21_s879-N,6.775759637188209,N
61,SBep23_c844-N,3.544331065759637,N
62,SBep2_c447-I,0.46659863945578234,I
63,SBep6_d574-N,12.48936507936508,N
64,SBep3_d345-N,1.483877551020408,N
65,SBep13_d372-N,1.206575963718821,N
66,SBep13_d783-N,3.838684807256236,N
67,SBep28_c375-N,3.7375,N
68,SBep21_c168-I,2.7033560090702946,I
69,SBep2_d191-N,2.4267120181405897,N
70,SBep4_d222-N,0.4958956916099773,N
71,SBep6_d991-N,4.530748299319728,N
72,SBep23_o554-N,1.4617687074829933,N
73,SBep28_d142-N,1.0058125,N
74,SBep4_h931-N,8.684716553287982,N
75,SBep13_c600-N,3.140249433106576,N
76,SBep6_d752-I,2.6382993197278912,I
77,SBep3_d1043-I,0.7891383219954649,I
78,SBep6_c462-N,1.4458049886621316,N
79,SBep4_d919-N,0.5918820861678005,N
80,SBep3_f128-N,2.550770975056689,N
81,SBep21_c455-N,0.33396825396825397,N
82,SBep14_k102-N,0.8890249433106576,N
83,SBep13_d345-N,5.55297052154195,N
84,SBep19_c279-I,2.3615873015873015,I
85,SBep2_d2-N,2.2164172335600907,N
86,SBep3_c586-N,3.05421768707483,N
87,SBep21_c641-N,5.942063492063492,N
88,SBep16_d479-N,9.06185941043084,N
89,SBep6_d197-I,4.556666666666667,I
90,SBep13_d718-N,0.6298412698412699,N
91,SBep4_d691-N,7.766145124716553,N
92,SBep14_d364-I,2.0867120181405894,I
93,SBep13_d541-N,4.370770975056689,N
94,SBep23_d1378-N,3.0336507936507937,N
95,SBep21_d762-I,2.8541269841269843,I
96,SBep16_c95-N,2.7496825396825395,N
97,SBep28_c40-N,1.8375625,N
98,SBep2_d545-N,2.128979591836735,N
99,SBep23_c917-N,7.008480725623583,N
100,SBep2_d313-N,1.086893424036281,N
101,SBep27_t217-N,1.8524583333333333,N
102,SBep16_q486-N,1.7176643990929705,N
103,SBep23_d744-N,2.1426077097505667,N
104,SBep23_d753-N,3.103809523809524,N
105,SBep3_d1226-N,0.767233560090703,N
106,SBep21_c1663-N,8.001020408163265,N
107,SBep16_c468-I,2.5295691609977324,I
108,SBep23_c879-N,7.829637188208617,N
109,SBep3_d1208-I,0.8351700680272108,I
110,SBep23_c494-N,2.4388662131519276,N
111,SBep23_c1336-N,1.9423809523809523,N
112,SBep4_c1257-N,0.582562358276644,N
113,SBep3_f1108-I,2.2530385487528344,I
114,SBep13_c252-N,1.2117233560090703,N
115,SBep21_c1506-N,3.1782086167800454,N
116,SBep3_c855-N,12.2021768707483,N
117,SBep27_d87-I,1.0231666666666666,I
