,filename,duration,label
0,SBep15_o124-N,11.897142857142857,N
1,SBep6_j719-I,2.0291156462585036,I
2,SBep21_d1706-I,4.808616780045352,I
3,SBep23_d624-I,1.3416326530612246,I
4,SBep21_d1604-N,2.585328798185941,N
5,SBep13_c538-N,1.4263038548752835,N
6,SBep6_c431-I,3.9863492063492063,I
7,SBep23_c371-I,3.7541496598639457,I
8,SBep13_d740-N,1.4263038548752835,N
9,SBep15_c302-N,32.88108843537415,N
10,SBep23_c1450-N,3.344081632653061,N
11,SBep21_s1218-I,1.8207936507936509,I
12,SBep15_d286-N,7.05156462585034,N
13,SBep13_d705-N,4.546575963718821,N
14,SBep28_c716-N,2.3264791666666667,N
15,SBep28_d206-N,5.067104166666667,N
16,SBep23_c989-N,1.742108843537415,N
17,SBep27_c186-N,5.374520833333333,N
18,SBep13_c317-I,1.2968253968253969,I
19,SBep23_o70-N,5.39827664399093,N
20,SBep23_d848-N,4.214988662131519,N
21,SBep28_c382-N,4.2801875,N
22,SBep21_d581-N,1.7475736961451247,N
23,SBep23_o1062-I,1.1413832199546485,I
24,SBep23_d1121-N,1.501814058956916,N
25,SBep6_j418-I,1.4198866213151928,I
26,SBep23_c172-N,1.5617687074829931,N
27,SBep6_d367-N,2.7160770975056687,N
28,SBep6_d1054-I,3.286394557823129,I
29,SBep21_s1773-N,1.3082993197278912,N
30,SBep23_d1164-N,1.3416326530612246,N
31,SBep13_c639-N,1.0307936507936508,N
32,SBep13_c70-N,6.586077097505669,N
33,SBep6_d265-I,1.134716553287982,I
34,SBep13_c35-N,0.4636734693877551,N
35,SBep23_o1160-N,3.0839002267573696,N
36,SBep6_d199-I,2.2624036281179136,I
37,SBep13_c580-N,4.766326530612245,N
38,SBep2_e443-N,4.833809523809524,N
39,SBep13_c151-N,4.525419501133787,N
40,SBep2_d504-I,1.8064399092970522,I
41,SBep27_d201-I,2.499458333333333,I
42,SBep21_d782-I,4.080839002267574,I
43,SBep13_c114-N,6.297687074829932,N
44,SBep2_e406-N,5.7266439909297056,N
45,SBep13_d404-N,3.447891156462585,N
46,SBep27_d346-N,2.2117708333333335,N
47,SBep2_c582-N,1.4123129251700681,N
48,SBep15_d454-I,5.080816326530612,I
49,SBep6_j370-I,1.1217687074829932,I
50,SBep28_d142-N,1.0058125,N
51,SBep2_e236-N,6.11108843537415,N
52,SBep21_d563-I,3.8395691609977325,I
53,SBep2_c33-N,1.4123582766439908,N
54,SBep15_o338-N,7.3592063492063495,N
55,SBep28_c262-N,5.6098125,N
56,SBep2_e334-I,0.9628344671201814,I
57,SBep21_s514-N,0.8568027210884354,N
58,SBep21_c134-N,2.6963492063492063,N
59,SBep28_c227-N,2.6792291666666666,N
60,SBep27_t156-N,1.2156875,N
61,SBep21_c977-N,0.7475510204081632,N
62,SBep15_d198-I,3.6786848072562357,I
63,SBep23_d683-N,2.222721088435374,N
64,SBep23_c393-N,0.6026530612244898,N
65,SBep6_c804-N,0.6162358276643991,N
66,SBep6_d455-I,3.169750566893424,I
67,SBep21_s1847-I,3.495986394557823,I
68,SBep13_d519-N,0.6792063492063493,N
69,SBep23_d315-I,2.0601133786848074,I
70,SBep28_d118-I,5.5035,I
71,SBep6_d882-I,3.623424036281179,I
72,SBep2_e6-N,1.4720181405895691,N
73,SBep23_c1225-N,0.7809297052154195,N
74,SBep21_c1703-I,3.2694104308390024,I
75,SBep23_o665-N,0.580702947845805,N
76,SBep23_d95-I,4.665736961451247,I
77,SBep28_c163-N,2.3920625,N
78,SBep15_c430-I,3.7095691609977326,I
79,SBep6_j84-N,1.132312925170068,N
80,SBep23_d1378-N,3.0336507936507937,N
81,SBep21_c235-N,0.9552380952380952,N
82,SBep2_c462-N,4.510884353741496,N
83,SBep2_d172-N,1.6276643990929704,N
84,SBep6_c797-N,0.90140589569161,N
85,SBep6_j868-N,3.040136054421769,N
86,SBep6_d385-I,0.7199319727891157,I
87,SBep23_o599-N,1.7020861678004535,N
88,SBep27_c199-I,1.0906666666666667,I
89,SBep13_d618-N,2.7850113378684807,N
90,SBep23_o658-N,4.525691609977324,N
91,SBep23_c1218-N,2.5931065759637186,N
92,SBep27_t368-I,1.9835416666666668,I
93,SBep21_s18-N,1.140204081632653,N
94,SBep6_d842-I,1.186575963718821,I
95,SBep21_c1679-N,1.2855555555555556,N
96,SBep21_s1552-N,1.5135827664399093,N
97,SBep21_c14-N,1.4269614512471656,N
98,SBep23_c782-N,1.5117913832199545,N
99,SBep21_s591-N,2.058004535147392,N
100,SBep23_d1468-N,2.262766439909297,N
101,SBep15_c267-N,1.8904988662131519,N
102,SBep23_o130-N,1.2714739229024943,N
103,SBep21_d931-I,1.8778458049886622,I
104,SBep23_o936-N,5.546802721088436,N
105,SBep23_o1491-N,1.1013378684807256,N
106,SBep2_d309-I,0.888390022675737,I
107,SBep23_c115-I,2.7033106575963717,I
108,SBep27_d449-I,0.6866875,I
109,SBep13_c719-N,4.722380952380952,N
110,SBep21_s529-N,3.9880272108843537,N
111,SBep21_s1282-N,3.212403628117914,N
112,SBep21_s1616-N,6.245215419501133,N
113,SBep21_d1562-I,0.453265306122449,I
114,SBep23_c811-N,3.4241950113378685,N
115,SBep23_d542-N,1.7620408163265306,N
116,SBep21_c661-N,0.6968027210884353,N
117,SBep21_c1255-N,3.131473922902494,N
118,SBep13_c136-I,2.3474603174603175,I
119,SBep21_d334-N,0.5753514739229025,N
120,SBep13_d524-N,5.952879818594104,N
121,SBep27_d364-I,3.5778541666666666,I
122,SBep21_c1312-I,2.5625396825396827,I
123,SBep23_c949-N,1.9985714285714287,N
124,SBep2_d353-N,3.195873015873016,N
125,SBep15_d344-I,1.5588208616780046,I
126,SBep2_c292-N,0.838798185941043,N
127,SBep21_c1420-N,0.7497052154195011,N
128,SBep15_c92-N,16.15988662131519,N
129,SBep28_c342-N,2.055125,N
130,SBep28_d652-N,3.1405208333333334,N
131,SBep6_c399-I,0.6162585034013606,I
132,SBep13_c290-N,4.744308390022676,N
133,SBep13_d351-N,5.552993197278911,N
134,SBep6_d258-I,0.8754875283446713,I
135,SBep28_u237-N,2.760625,N
136,SBep13_c641-N,0.6792063492063493,N
137,SBep23_c1004-N,0.8610430839002268,N
138,SBep23_o1118-N,1.8622675736961452,N
139,SBep21_d1538-N,4.455192743764172,N
140,SBep28_u272-N,2.1907916666666667,N
141,SBep15_c387-N,13.513832199546485,N
142,SBep13_c604-N,4.502630385487528,N
143,SBep28_c63-N,1.6527083333333332,N
144,SBep2_e316-N,1.627687074829932,N
145,SBep21_s1922-I,3.4230612244897958,I
146,SBep13_d60-N,6.009659863945578,N
147,SBep23_c662-N,2.8634920634920635,N
148,SBep21_s1063-N,2.0856916099773244,N
149,SBep21_c1799-N,1.1746258503401361,N
150,SBep2_d79-I,4.361995464852607,I
151,SBep23_c627-N,12.114897959183674,N
152,SBep23_d1258-N,6.347800453514739,N
153,SBep2_c542-N,0.2681179138321996,N
154,SBep15_o119-N,1.7329931972789117,N
155,SBep23_o394-N,1.5384126984126985,N
156,SBep13_d813-N,0.9991383219954648,N
157,SBep21_d393-I,2.7372108843537415,I
158,SBep6_d159-I,2.6724489795918367,I
159,SBep6_d588-I,1.886530612244898,I
160,SBep13_d481-N,2.0855102040816327,N
161,SBep15_c412-N,2.8139909297052155,N
162,SBep15_d147-N,12.808684807256236,N
163,SBep23_c1305-N,0.9513378684807257,N
164,SBep23_c1428-N,1.9625170068027211,N
165,SBep27_d178-I,1.8830416666666667,I
166,SBep13_d738-N,5.6013151927437645,N
167,SBep23_c563-N,3.3841496598639456,N
168,SBep2_d502-N,1.4590476190476191,N
169,SBep28_c187-N,6.0888125,N
170,SBep28_d30-I,1.4678958333333334,I
171,SBep28_c556-N,7.7806041666666665,N
172,SBep21_c645-N,1.4018140589569161,N
173,SBep27_d242-N,5.40875,N
174,SBep2_d547-N,2.3770975056689343,N
175,SBep23_o317-I,1.474965986394558,I
176,SBep2_d196-N,3.7913378684807255,N
177,SBep2_c486-N,1.9487301587301586,N
178,SBep15_d452-N,1.9843083900226757,N
179,SBep6_d409-I,2.7160770975056687,I
180,SBep13_d500-N,1.206575963718821,N
181,SBep2_d42-N,3.613764172335601,N
182,SBep27_c12-N,0.564,N
183,SBep23_o250-N,1.9336054421768707,N
184,SBep23_c1284-N,1.091360544217687,N
185,SBep6_d361-I,3.7919274376417236,I
186,SBep13_d268-N,0.7435374149659864,N
187,SBep13_c778-N,10.252063492063492,N
188,SBep21_c1889-I,2.8518367346938778,I
189,SBep23_d421-I,1.0590249433106576,I
190,SBep23_c19-I,5.7470521541950115,I
191,SBep23_d523-N,4.486938775510204,N
192,SBep21_d478-N,1.8285034013605441,N
193,SBep23_d566-N,3.1834013605442175,N
194,SBep2_e368-I,0.7643310657596372,I
195,SBep21_d817-N,1.7684126984126984,N
196,SBep28_c286-N,1.9465833333333333,N
197,SBep27_t8-I,1.3438541666666666,I
198,SBep27_c416-N,9.087125,N
199,SBep13_c311-N,2.0203854875283445,N
200,SBep15_d382-N,2.371496598639456,N
201,SBep6_d708-I,2.145759637188209,I
202,SBep27_c180-I,2.3452083333333333,I
203,SBep15_c11-I,7.880136054421769,I
204,SBep27_d490-I,7.063375,I
205,SBep13_c354-N,9.02920634920635,N
206,SBep23_c1185-N,7.4393197278911565,N
