,filename,duration,label
0,SBep16_q316-N,1.7176643990929705,N
1,SBep16_c405-N,1.0533560090702947,N
2,SBep16_q353-N,0.8319047619047619,N
3,SBep16_d483-I,5.223696145124716,I
4,SBep3_c366-N,5.056734693877551,N
5,SBep3_c323-N,2.004920634920635,N
6,SBep3_f545-N,4.087278911564626,N
7,SBep3_c1129-I,3.2806575963718823,I
8,SBep16_c328-N,10.242834467120181,N
9,SBep3_c221-I,5.404081632653061,I
10,SBep3_f402-I,1.9552834467120181,I
11,SBep3_f169-N,6.619841269841269,N
12,SBep3_d1330-I,0.45022675736961454,I
13,SBep16_d539-N,1.4224036281179138,N
14,SBep3_c963-I,4.97891156462585,I
15,SBep3_d200-I,2.6500226757369614,I
16,SBep3_f1105-N,0.9132199546485261,N
17,SBep3_f1140-N,6.563968253968254,N
18,SBep3_c556-N,0.49551020408163265,N
19,SBep3_c187-N,2.5011337868480727,N
20,SBep3_d497-N,9.57718820861678,N
21,SBep3_d595-I,0.9132199546485261,I
22,SBep3_d1397-N,0.9030839002267573,N
23,SBep16_q526-N,0.7581179138321995,N
24,SBep16_d71-I,1.606938775510204,I
25,SBep16_c427-I,2.6772108843537414,I
26,SBep16_c525-N,4.301020408163265,N
27,SBep3_c469-I,3.869387755102041,I
28,SBep3_d756-N,0.6899092970521542,N
29,SBep3_d1111-I,3.195873015873016,I
30,SBep3_c697-N,0.6766666666666666,N
31,SBep3_f18-N,1.6327437641723357,N
32,SBep16_d236-I,5.076054421768707,I
33,SBep3_c843-I,2.4655102040816326,I
34,SBep3_c941-N,0.8351700680272108,N
35,SBep3_c102-N,1.607936507936508,N
36,SBep3_d457-N,3.8905895691609977,N
37,SBep3_d267-N,3.369546485260771,N
38,SBep16_c480-N,1.6807482993197278,N
39,SBep16_d190-N,2.0867120181405894,N
40,SBep3_f1409-N,0.49551020408163265,N
41,SBep16_d128-N,3.796281179138322,N
42,SBep3_d166-N,3.74172335600907,N
43,SBep16_q406-N,5.371292517006803,N
44,SBep3_c1151-I,3.461814058956916,I
45,SBep16_c315-N,5.297482993197279,N
46,SBep3_c163-N,0.7147392290249434,N
47,SBep16_q156-N,1.2748072562358277,N
48,SBep3_d219-I,1.7568027210884354,I
49,SBep16_d355-N,2.123628117913832,N
50,SBep3_c12-I,1.8064172335600908,I
51,SBep3_f441-N,7.190498866213152,N
