filename,speaker,label,transcription
SPPep12_b1-N.wav,b,N,yes
SPPep12_b10-I.wav,b,I,yes
SPPep12_b100-N.wav,b,N,fifteen days
SPPep12_b101-N.wav,b,N,play the latest just in case
SPPep12_b102-N.wav,b,N,weird sometimes
SPPep12_b103-N.wav,b,N,hit by a train on the way
SPPep12_b104-N.wav,b,N,where is that just like you have infinite used to live
SPPep12_b105-N.wav,b,N,no blueberry similarity excepts pakistan
SPPep12_b106-N.wav,b,N,yes
SPPep12_b107-N.wav,b,N,is it better
SPPep12_b108-I.wav,b,I,where's exclusively public transit
SPPep12_b109-I.wav,b,I,nobody
SPPep12_b11-I.wav,b,I,yes
SPPep12_b110-N.wav,b,N,also has an egg
SPPep12_b111-N.wav,b,N,no it's sticky
SPPep12_b112-N.wav,b,N,no
SPPep12_b113-N.wav,b,N,what flannels doesn't have a lot patches
SPPep12_b114-I.wav,b,I,for two hundred
SPPep12_b115-I.wav,b,I,yes
SPPep12_b116-N.wav,b,N,no it's
SPPep12_b117-I.wav,b,I,what
SPPep12_b118-I.wav,b,I,i don't swinger party app driving
SPPep12_b119-N.wav,b,N,no
SPPep12_b12-N.wav,b,N,shut up and run but you always intentionally over slaves an accident
SPPep12_b120-N.wav,b,N,does this doesn't
SPPep12_b121-N.wav,b,N,no
SPPep12_b122-N.wav,b,N,hey
SPPep12_b123-I.wav,b,I,is it supposed
SPPep12_b124-N.wav,b,N,i hope so
SPPep12_b125-N.wav,b,N,january hotel lazar attached before
SPPep12_b126-N.wav,b,N,large volume down
SPPep12_b127-N.wav,b,N,stop with the high
SPPep12_b128-N.wav,b,N,
SPPep12_b129-N.wav,b,N,please
SPPep12_b13-N.wav,b,N,zach
SPPep12_b130-N.wav,b,N,yes
SPPep12_b131-N.wav,b,N,
SPPep12_b132-I.wav,b,I,play notice the always gold slightly notches on my apps
SPPep12_b14-I.wav,b,I,delete
SPPep12_b15-I.wav,b,I,
SPPep12_b16-N.wav,b,N,what's the song
SPPep12_b17-N.wav,b,N,
SPPep12_b18-N.wav,b,N,play eliminate heart wants
SPPep12_b19-N.wav,b,N,probably
SPPep12_b2-N.wav,b,N,play franklin theodore howards second
SPPep12_b20-N.wav,b,N,i live in a company supplied apartments
SPPep12_b21-I.wav,b,I,news say no
SPPep12_b22-N.wav,b,N,what's the volume
SPPep12_b23-N.wav,b,N,no not everyone in the world is perfect drive design
SPPep12_b24-I.wav,b,I,primarily
SPPep12_b25-N.wav,b,N,never mind
SPPep12_b26-N.wav,b,N,what
SPPep12_b27-I.wav,b,I,which is significant
SPPep12_b28-N.wav,b,N,what's new releases complements
SPPep12_b29-N.wav,b,N,yes
SPPep12_b3-N.wav,b,N,what is franklin and i used he him programs
SPPep12_b30-N.wav,b,N,yes
SPPep12_b31-N.wav,b,N,yes
SPPep12_b32-N.wav,b,N,yes
SPPep12_b33-I.wav,b,I,one hundred percent related
SPPep12_b34-I.wav,b,I,send me a muffin please hungry
SPPep12_b35-I.wav,b,I,create a local store
SPPep12_b36-N.wav,b,N,i think this is matt terry therapy
SPPep12_b37-N.wav,b,N,open your crayons
SPPep12_b38-N.wav,b,N,chicken recipes asgore
SPPep12_b39-N.wav,b,N,yes
SPPep12_b4-N.wav,b,N,i don't know the weather today
SPPep12_b40-N.wav,b,N,will bobby
SPPep12_b41-N.wav,b,N,begin actually memorecks
SPPep12_b42-N.wav,b,N,i want to spend most of the week in more with mariah carey
SPPep12_b43-N.wav,b,N,how about seconds
SPPep12_b44-N.wav,b,N,i magine that would be plus one medicine and problem instigation
SPPep12_b45-N.wav,b,N,that seems reasonable spinning movie work anymore
SPPep12_b46-N.wav,b,N,yeah
SPPep12_b47-I.wav,b,I,with maria
SPPep12_b48-I.wav,b,I,what polarbeer
SPPep12_b49-N.wav,b,N,
SPPep12_b5-N.wav,b,N,i think it was composed this time as well
SPPep12_b50-N.wav,b,N,melodies for us
SPPep12_b51-N.wav,b,N,yes
SPPep12_b52-N.wav,b,N,not not a movie for me
SPPep12_b53-N.wav,b,N,
SPPep12_b55-I.wav,b,I,is robbing your teeth on the bottom of criminal hours
SPPep12_b56-N.wav,b,N,
SPPep12_b57-N.wav,b,N,everywhere
SPPep12_b58-I.wav,b,I,i was really hoping you say
SPPep12_b59-N.wav,b,N,no
SPPep12_b6-N.wav,b,N,i do not want the second
SPPep12_b60-N.wav,b,N,no
SPPep12_b61-I.wav,b,I,what is the most beautiful run
SPPep12_b62-N.wav,b,N,
SPPep12_b63-N.wav,b,N,
SPPep12_b64-N.wav,b,N,yes
SPPep12_b65-N.wav,b,N,how we going home yesterday morning
SPPep12_b66-N.wav,b,N,i know
SPPep12_b67-N.wav,b,N,what's going on with this beautiful
SPPep12_b68-I.wav,b,I,generally where they open
SPPep12_b69-N.wav,b,N,currently
SPPep12_b7-N.wav,b,N,exit the alarm
SPPep12_b70-N.wav,b,N,yes
SPPep12_b71-N.wav,b,N,right
SPPep12_b72-N.wav,b,N,what
SPPep12_b73-I.wav,b,I,yes
SPPep12_b74-I.wav,b,I,can i just sugar waters earth my shot a sad record
SPPep12_b75-N.wav,b,N,no
SPPep12_b76-N.wav,b,N,
SPPep12_b77-I.wav,b,I,who is there candy inside of normal dodgers
SPPep12_b78-N.wav,b,N,yes
SPPep12_b79-N.wav,b,N,i'm
SPPep12_b8-I.wav,b,I,
SPPep12_b80-N.wav,b,N,it's gonna be
SPPep12_b81-N.wav,b,N,set volume wifi
SPPep12_b82-I.wav,b,I,should i bring a cowboy hat
SPPep12_b83-N.wav,b,N,no portal
SPPep12_b84-N.wav,b,N,add another pair of cats like two shirts and slank
SPPep12_b85-N.wav,b,N,
SPPep12_b86-N.wav,b,N,
SPPep12_b86B-I.wav,b,I,play despacito too one of them album
SPPep12_b87-N.wav,b,N,
SPPep12_b88-I.wav,b,I,no rain singles songs
SPPep12_b89-N.wav,b,N,
SPPep12_b9-I.wav,b,I,remind me about this morning
SPPep12_b90-I.wav,b,I,how long will donaldson
SPPep12_b91-N.wav,b,N,what is gonna turn on dead when i look up in salvador chicken
SPPep12_b92-N.wav,b,N,
SPPep12_b93-N.wav,b,N,yes
SPPep12_b94-N.wav,b,N,lifespan
SPPep12_b95-N.wav,b,N,gregory
SPPep12_b96-N.wav,b,N,what is worth life
SPPep12_b97-N.wav,b,N,are you overdrawn on that
SPPep12_b98-N.wav,b,N,play
SPPep12_b99-N.wav,b,N,right
SPPep12_g1-N.wav,g,N,ok what's up everyone my name is helen use she her pronouns and i play what's my name joshua
SPPep12_g10-N.wav,g,N,also wakes up early exercise
SPPep12_g11-N.wav,g,N,intentionally oversleep send accidentally mississippi
SPPep12_g12-I.wav,g,I,it's up to in the morning
SPPep12_g13-I.wav,g,I,end the bathroom i think they don't care about that
SPPep12_g14-N.wav,g,N,
SPPep12_g15-N.wav,g,N,it said if you heard you hard
SPPep12_g16-N.wav,g,N,ok here we go
SPPep12_g17-I.wav,g,I,yes and someone made a bad poster
SPPep12_g18-I.wav,g,I,rockers
SPPep12_g19-N.wav,g,N,i really like that department name i was gonna say that but you are done talking
SPPep12_g2-N.wav,g,N,play jaws wood
SPPep12_g20-N.wav,g,N,what is well-done
SPPep12_g21-I.wav,g,I,this is different
SPPep12_g22-N.wav,g,N,whatever works for him
SPPep12_g23-I.wav,g,I,how what
SPPep12_g24-I.wav,g,I,start out tom thomson san
SPPep12_g25-N.wav,g,N,ideally in something related to us
SPPep12_g26-I.wav,g,I,which one raise awareness about stokes
SPPep12_g27-I.wav,g,I,doesn't matter if it's just just general
SPPep12_g28-I.wav,g,I,call your stoned representative
SPPep12_g29-N.wav,g,N,not to attend
SPPep12_g3-N.wav,g,N,yeah
SPPep12_g30-I.wav,g,I,got you
SPPep12_g31-N.wav,g,N,make it sound manditory
SPPep12_g32-N.wav,g,N,what happen since your bluetooth device
SPPep12_g33-N.wav,g,N,
SPPep12_g34-N.wav,g,N,put the week off this job is the only thing we do
SPPep12_g35-N.wav,g,N,feets on
SPPep12_g36-N.wav,g,N,
SPPep12_g37-I.wav,g,I,
SPPep12_g38-N.wav,g,N,
SPPep12_g39-N.wav,g,N,i want affleck
SPPep12_g4-N.wav,g,N,i think you did cuz i was started i listen to the beginning of the first episode set my recently
SPPep12_g40-N.wav,g,N,i want to say that i ran that i did like park core during the week
SPPep12_g41-N.wav,g,N,what athlete will give me plus one two strength standing up from prone uses five five feet of movements climbing doesn't cost any extra movement and give me better jumps
SPPep12_g42-N.wav,g,N,strings of my modifier dexterity is an even number right now hot ones so if i up my strength actually
SPPep12_g43-N.wav,g,N,will you can take the athlete feat
SPPep12_g44-N.wav,g,N,i would give you plus one to dicks
SPPep12_g45-I.wav,g,I,say you spend the week showering without shower shoes
SPPep12_g46-N.wav,g,N,what
